rank	hgnc_symbol	ensembl_gene_id	uniprot_accession	surfaceome_category	scenario	scenario_score	available_weight_sum	missing_weighted_components	n_missing_mvp_score_components	missing_mvp_score_components	ranking_status	score_config_sha256	git_commit	Surf_rank_percentile	E_rank_percentile	N_rank_percentile	R_rank_percentile_high_worse	P_rank_percentile	SC_status	SC_rank_percentile	T_rank_percentile	Surf_contribution	E_contribution	N_contribution	R_contribution_subtracted	P_contribution	SC_contribution	T_contribution	E_score	N_score	R_score	P_score	T_score	tme_contamination_risk	accessibility_class	isoform_resolution_status	hpa_evidence_status	discordance_flags	max_risk_organ	risk_interpretation	freeze_version	freeze_date_utc	git_worktree_status_at_freeze
1548	TSPAN16	ENSG00000130167	Q9UKR8	core_surfaceome	balanced	0.261720	1.000000		0		preliminary_fase13_mvp_not_final_tiering	227d95ac3448af4b00edffbe8281c5c6b481dbd16eaaa92576f3633b21905560	6b4346e850b08f041c8e6c46b97a7396a3bba25d	0.796904	0.205225	0.191973	0.276410	0.758405	not_available		0.042658	0.119536	0.041045	0.038395	-0.055282	0.113761		0.004266	0.186369	0.264445	0.600000	0.450000	0.577949	low_uncorrected_tme_correlation	D	multiple_uniprot_isoforms_mapped_not_resolved	stomach_cancer_ihc_available	CPTAC_not_assessed	reproductive_other	moderate_off_tumor_risk	v0	2026-05-29	dirty
1549	OR51Q1	ENSG00000167360	Q8NH59	core_surfaceome	balanced	0.261667	1.000000		0		preliminary_fase13_mvp_not_final_tiering	227d95ac3448af4b00edffbe8281c5c6b481dbd16eaaa92576f3633b21905560	6b4346e850b08f041c8e6c46b97a7396a3bba25d	0.581729	0.108860	0.663385	0.104127	0.095726	not_available		0.264251	0.087259	0.021772	0.132677	-0.020825	0.014359		0.026425	0.093393	0.612136	0.000000	0.001667	0.748939	low_uncorrected_tme_correlation	C	not_isoform_critical_or_single_canonical_mapping	stomach_cancer_ihc_available	RNA_low_protein_present;protein_present_no_membrane;antibody_low_confidence;CPTAC_not_assessed	brain	lower_risk_by_current_normal_expression	v0	2026-05-29	dirty
1550	CDH2	ENSG00000170558	P19022	core_surfaceome	balanced	0.261120	1.000000		0		preliminary_fase13_mvp_not_final_tiering	227d95ac3448af4b00edffbe8281c5c6b481dbd16eaaa92576f3633b21905560	6b4346e850b08f041c8e6c46b97a7396a3bba25d	0.849755	0.498296	0.063612	0.715259	0.758405	not_available		0.505663	0.127463	0.099659	0.012722	-0.143052	0.113761		0.050566	0.496668	0.151912	1.000000	0.450000	0.782500	high_purity_adjusted_tme_correlation	A	multiple_uniprot_isoforms_mapped_not_resolved	stomach_cancer_ihc_available	CPTAC_not_assessed	heart	high_critical_off_tumor_risk	v0	2026-05-29	dirty
1551	OR2T11	ENSG00000279301	Q8NH01	core_surfaceome	balanced	0.261103	0.850000	P	1	P	preliminary_fase13_mvp_not_final_tiering	227d95ac3448af4b00edffbe8281c5c6b481dbd16eaaa92576f3633b21905560	6b4346e850b08f041c8e6c46b97a7396a3bba25d	0.545866	0.031617	0.578190	0.071185		not_available		0.323330	0.081880	0.006323	0.115638	-0.014237			0.032333	0.083624	0.574366	0.000000		0.750002	low_uncorrected_tme_correlation	C	not_isoform_critical_or_single_canonical_mapping	missing_stomach_cancer_ihc	HPA_missing;antibody_low_confidence;CPTAC_not_assessed	brain	lower_risk_by_current_normal_expression	v0	2026-05-29	dirty
1552	OXGR1	ENSG00000165621	Q96P68	core_surfaceome	balanced	0.260921	0.850000	P	1	P	preliminary_fase13_mvp_not_final_tiering	227d95ac3448af4b00edffbe8281c5c6b481dbd16eaaa92576f3633b21905560	6b4346e850b08f041c8e6c46b97a7396a3bba25d	0.944130	0.330557	0.193866	0.241575		not_available		0.235938	0.141619	0.066111	0.038773	-0.048315			0.023594	0.325540	0.267645	0.258226		0.746724	low_uncorrected_tme_correlation	C	not_isoform_critical_or_single_canonical_mapping	missing_stomach_cancer_ihc	HPA_missing;CPTAC_not_assessed	kidney	lower_risk_by_current_normal_expression	v0	2026-05-29	dirty
1553	CLEC4A	ENSG00000111729	Q9UMR7	core_surfaceome	balanced	0.260901	1.000000		0		preliminary_fase13_mvp_not_final_tiering	227d95ac3448af4b00edffbe8281c5c6b481dbd16eaaa92576f3633b21905560	6b4346e850b08f041c8e6c46b97a7396a3bba25d	0.062288	0.621356	0.641045	0.436577	0.047578	not_available		0.792563	0.009343	0.124271	0.128209	-0.087315	0.007137		0.079256	0.624782	0.604014	0.850000	0.000000	0.932500	high_purity_adjusted_tme_correlation	A	multiple_uniprot_isoforms_mapped_not_resolved	stomach_cancer_ihc_available	protein_present_no_membrane;antibody_low_confidence;CPTAC_not_assessed	lung	high_critical_off_tumor_risk	v0	2026-05-29	dirty
1554	EFNA1	ENSG00000169242	P20827	probable_surfaceome	balanced	0.260848	1.000000		0		preliminary_fase13_mvp_not_final_tiering	227d95ac3448af4b00edffbe8281c5c6b481dbd16eaaa92576f3633b21905560	6b4346e850b08f041c8e6c46b97a7396a3bba25d	0.010948	0.960621	0.708065	0.567209	0.211966	not_available		0.071159	0.001642	0.192124	0.141613	-0.113442	0.031795		0.007116	0.945002	0.633964	0.900000	0.140000	0.670000	low_uncorrected_tme_correlation	A	multiple_uniprot_isoforms_mapped_not_resolved	stomach_cancer_ihc_available	RNA_high_protein_absent;CPTAC_not_assessed	liver	high_critical_off_tumor_risk	v0	2026-05-29	dirty
1555	OR10X1	ENSG00000279111	Q8NGY0	core_surfaceome	balanced	0.260652	0.850000	P	1	P	preliminary_fase13_mvp_not_final_tiering	227d95ac3448af4b00edffbe8281c5c6b481dbd16eaaa92576f3633b21905560	6b4346e850b08f041c8e6c46b97a7396a3bba25d	0.506606	0.031617	0.534267	0.036350		not_available		0.396565	0.075991	0.006323	0.106853	-0.007270			0.039657	0.083624	0.545532	0.000000		0.753992	low_uncorrected_tme_correlation	C	not_isoform_critical_or_single_canonical_mapping	missing_stomach_cancer_ihc	HPA_missing;antibody_low_confidence;CPTAC_not_assessed	brain	lower_risk_by_current_normal_expression	v0	2026-05-29	dirty
1556	OR13C3	ENSG00000204246	Q8NGS6	core_surfaceome	balanced	0.260361	0.850000	P	1	P	preliminary_fase13_mvp_not_final_tiering	227d95ac3448af4b00edffbe8281c5c6b481dbd16eaaa92576f3633b21905560	6b4346e850b08f041c8e6c46b97a7396a3bba25d	0.511891	0.031617	0.503976	0.041272		not_available		0.456587	0.076784	0.006323	0.100795	-0.008254			0.045659	0.083624	0.525464	0.000000		0.765460	low_uncorrected_tme_correlation	C	not_isoform_critical_or_single_canonical_mapping	missing_stomach_cancer_ihc	HPA_missing;antibody_low_confidence;CPTAC_not_assessed	brain	lower_risk_by_current_normal_expression	v0	2026-05-29	dirty
1557	P2RX3	ENSG00000109991	P56373	core_surfaceome	balanced	0.260165	1.000000		0		preliminary_fase13_mvp_not_final_tiering	227d95ac3448af4b00edffbe8281c5c6b481dbd16eaaa92576f3633b21905560	6b4346e850b08f041c8e6c46b97a7396a3bba25d	0.642884	0.393412	0.297615	0.270731	0.047578	not_available		0.725368	0.096433	0.078682	0.059523	-0.054146	0.007137		0.072537	0.392976	0.359788	0.600000	0.000000	0.930000	low_uncorrected_tme_correlation	B	not_isoform_critical_or_single_canonical_mapping	stomach_cancer_ihc_available	antibody_low_confidence;CPTAC_not_assessed	reproductive_other	moderate_off_tumor_risk	v0	2026-05-29	dirty
1558	NAALADL1	ENSG00000168060	Q9UQQ1	core_surfaceome	balanced	0.260025	1.000000		0		preliminary_fase13_mvp_not_final_tiering	227d95ac3448af4b00edffbe8281c5c6b481dbd16eaaa92576f3633b21905560	6b4346e850b08f041c8e6c46b97a7396a3bba25d	0.117780	0.678152	0.160545	0.494131	0.627920	not_available		0.792563	0.017667	0.135630	0.032109	-0.098826	0.094188		0.079256	0.686653	0.238357	0.850000	0.283333	0.932500	moderate_residual_tme_correlation	A	multiple_uniprot_isoforms_mapped_not_resolved	stomach_cancer_ihc_available	protein_present_no_membrane;CPTAC_not_assessed	endothelial	high_critical_off_tumor_risk	v0	2026-05-29	dirty
1559	OR5M8	ENSG00000181371	Q8NGP6	core_surfaceome	balanced	0.259886	0.850000	P	1	P	preliminary_fase13_mvp_not_final_tiering	227d95ac3448af4b00edffbe8281c5c6b481dbd16eaaa92576f3633b21905560	6b4346e850b08f041c8e6c46b97a7396a3bba25d	0.611174	0.031617	0.614161	0.131768		not_available		0.264251	0.091676	0.006323	0.122832	-0.026354			0.026425	0.083624	0.593582	0.000000		0.748939	low_uncorrected_tme_correlation	C	not_isoform_critical_or_single_canonical_mapping	missing_stomach_cancer_ihc	HPA_missing;antibody_low_confidence;CPTAC_not_assessed	brain	lower_risk_by_current_normal_expression	v0	2026-05-29	dirty
1560	OR51T1	ENSG00000176900	Q8NGJ9	core_surfaceome	balanced	0.259853	1.000000		0		preliminary_fase13_mvp_not_final_tiering	227d95ac3448af4b00edffbe8281c5c6b481dbd16eaaa92576f3633b21905560	6b4346e850b08f041c8e6c46b97a7396a3bba25d	0.582484	0.031617	0.666793	0.104885	0.182336	not_available		0.264251	0.087373	0.006323	0.133359	-0.020977	0.027350		0.026425	0.083624	0.613877	0.000000	0.093939	0.748939	low_uncorrected_tme_correlation	C	not_isoform_critical_or_single_canonical_mapping	stomach_cancer_ihc_available	RNA_low_protein_present;protein_present_no_membrane;antibody_low_confidence;CPTAC_not_assessed	brain	lower_risk_by_current_normal_expression	v0	2026-05-29	dirty
1561	LRFN2	ENSG00000156564	Q9ULH4	core_surfaceome	balanced	0.259847	1.000000		0		preliminary_fase13_mvp_not_final_tiering	227d95ac3448af4b00edffbe8281c5c6b481dbd16eaaa92576f3633b21905560	6b4346e850b08f041c8e6c46b97a7396a3bba25d	0.922612	0.237410	0.106020	0.842484	0.851852	not_available		0.934881	0.138392	0.047482	0.021204	-0.168497	0.127778		0.093488	0.232090	0.192446	1.000000	0.516667	0.962500	low_uncorrected_tme_correlation	A	not_isoform_critical_or_single_canonical_mapping	stomach_cancer_ihc_available	CPTAC_not_assessed	brain	high_critical_off_tumor_risk	v0	2026-05-29	dirty
1562	OR4E2	ENSG00000221977	Q8NGC2	core_surfaceome	balanced	0.259601	0.850000	P	1	P	preliminary_fase13_mvp_not_final_tiering	227d95ac3448af4b00edffbe8281c5c6b481dbd16eaaa92576f3633b21905560	6b4346e850b08f041c8e6c46b97a7396a3bba25d	0.563609	0.031617	0.575161	0.087846		not_available		0.323330	0.084541	0.006323	0.115032	-0.017569			0.032333	0.083624	0.571961	0.000000		0.750002	low_uncorrected_tme_correlation	C	not_isoform_critical_or_single_canonical_mapping	missing_stomach_cancer_ihc	HPA_missing;antibody_low_confidence;CPTAC_not_assessed	brain	lower_risk_by_current_normal_expression	v0	2026-05-29	dirty
1563	IL13RA2	ENSG00000123496	Q14627	core_surfaceome	balanced	0.259519	0.850000	P	1	P	preliminary_fase13_mvp_not_final_tiering	227d95ac3448af4b00edffbe8281c5c6b481dbd16eaaa92576f3633b21905560	6b4346e850b08f041c8e6c46b97a7396a3bba25d	0.903737	0.477849	0.490723	0.815222		not_available		0.543601	0.135561	0.095570	0.098145	-0.163044			0.054360	0.477338	0.515184	1.000000		0.812500	high_purity_adjusted_tme_correlation	A	not_isoform_critical_or_single_canonical_mapping	missing_stomach_cancer_ihc	HPA_missing;CPTAC_not_assessed	brain	high_critical_off_tumor_risk	v0	2026-05-29	dirty
1564	GPR161	ENSG00000143147	Q8N6U8	core_surfaceome	balanced	0.259511	1.000000		0		preliminary_fase13_mvp_not_final_tiering	227d95ac3448af4b00edffbe8281c5c6b481dbd16eaaa92576f3633b21905560	6b4346e850b08f041c8e6c46b97a7396a3bba25d	0.084560	0.636880	0.683075	0.457781	0.425356	not_available		0.105889	0.012684	0.127376	0.136615	-0.091556	0.063803		0.010589	0.639190	0.621053	0.850000	0.213611	0.711886	high_purity_adjusted_tme_correlation	C	multiple_uniprot_isoforms_mapped_not_resolved	stomach_cancer_ihc_available	protein_present_no_membrane;CPTAC_not_assessed	endothelial	high_critical_off_tumor_risk	v0	2026-05-29	dirty
1565	NOX1	ENSG00000007952	Q9Y5S8	core_surfaceome	balanced	0.259419	0.850000	P	1	P	preliminary_fase13_mvp_not_final_tiering	227d95ac3448af4b00edffbe8281c5c6b481dbd16eaaa92576f3633b21905560	6b4346e850b08f041c8e6c46b97a7396a3bba25d	0.120045	0.506626	0.485801	0.291935		not_available		0.624009	0.018007	0.101325	0.097160	-0.058387			0.062401	0.505320	0.511321	0.700000		0.862500	low_uncorrected_tme_correlation	B	multiple_uniprot_isoforms_mapped_not_resolved	missing_stomach_cancer_ihc	HPA_missing;antibody_low_confidence;CPTAC_not_assessed	gi_epithelial	moderate_off_tumor_risk	v0	2026-05-29	dirty
1566	OR2AP1	ENSG00000179615	Q8NGE2	core_surfaceome	balanced	0.259395	0.850000	P	1	P	preliminary_fase13_mvp_not_final_tiering	227d95ac3448af4b00edffbe8281c5c6b481dbd16eaaa92576f3633b21905560	6b4346e850b08f041c8e6c46b97a7396a3bba25d	0.532654	0.031617	0.570617	0.060962		not_available		0.323330	0.079898	0.006323	0.114123	-0.012192			0.032333	0.083624	0.569765	0.000000		0.750002	low_uncorrected_tme_correlation	C	not_isoform_critical_or_single_canonical_mapping	missing_stomach_cancer_ihc	HPA_missing;antibody_low_confidence;CPTAC_not_assessed	brain	lower_risk_by_current_normal_expression	v0	2026-05-29	dirty
1567	OR3A1	ENSG00000180090	P47881	core_surfaceome	balanced	0.259277	0.850000	P	1	P	preliminary_fase13_mvp_not_final_tiering	227d95ac3448af4b00edffbe8281c5c6b481dbd16eaaa92576f3633b21905560	6b4346e850b08f041c8e6c46b97a7396a3bba25d	0.553416	0.173419	0.405528	0.078001		not_available		0.371838	0.083012	0.034684	0.081106	-0.015600			0.037184	0.144131	0.448959	0.000000		0.751038	low_uncorrected_tme_correlation	C	not_isoform_critical_or_single_canonical_mapping	missing_stomach_cancer_ihc	HPA_missing;antibody_low_confidence;CPTAC_not_assessed	brain	lower_risk_by_current_normal_expression	v0	2026-05-29	dirty
1568	MUC4	ENSG00000145113	Q99102	probable_surfaceome	balanced	0.259069	1.000000		0		preliminary_fase13_mvp_not_final_tiering	227d95ac3448af4b00edffbe8281c5c6b481dbd16eaaa92576f3633b21905560	6b4346e850b08f041c8e6c46b97a7396a3bba25d	0.020385	0.707686	0.722075	0.291178	0.187749	not_available		0.001321	0.003058	0.141537	0.144415	-0.058236	0.028162		0.000132	0.712363	0.641007	0.700000	0.096944	0.070000	low_uncorrected_tme_correlation	E	multiple_uniprot_isoforms_mapped_not_resolved	stomach_cancer_ihc_available	protein_present_no_membrane;CPTAC_not_assessed	gi_epithelial	moderate_off_tumor_risk	v0	2026-05-29	dirty
1569	OR9A2	ENSG00000179468	Q8NGT5	core_surfaceome	balanced	0.259027	0.850000	P	1	P	preliminary_fase13_mvp_not_final_tiering	227d95ac3448af4b00edffbe8281c5c6b481dbd16eaaa92576f3633b21905560	6b4346e850b08f041c8e6c46b97a7396a3bba25d	0.637599	0.097880	0.518364	0.155244		not_available		0.323330	0.095640	0.019576	0.103673	-0.031049			0.032333	0.091537	0.537050	0.000000		0.750002	low_uncorrected_tme_correlation	C	not_isoform_critical_or_single_canonical_mapping	missing_stomach_cancer_ihc	HPA_missing;antibody_low_confidence;CPTAC_not_assessed	brain	lower_risk_by_current_normal_expression	v0	2026-05-29	dirty
1570	CYSLTR1	ENSG00000173198	Q9Y271	core_surfaceome	balanced	0.258948	1.000000		0		preliminary_fase13_mvp_not_final_tiering	227d95ac3448af4b00edffbe8281c5c6b481dbd16eaaa92576f3633b21905560	6b4346e850b08f041c8e6c46b97a7396a3bba25d	0.290298	0.555093	0.543355	0.351382	0.301140	not_available		0.208192	0.043545	0.111019	0.108671	-0.070276	0.045171		0.020819	0.555528	0.553502	0.800000	0.186667	0.743152	high_purity_adjusted_tme_correlation	C	not_isoform_critical_or_single_canonical_mapping	stomach_cancer_ihc_available	CPTAC_not_assessed	hematopoietic	high_critical_off_tumor_risk	v0	2026-05-29	dirty
1571	OR6C4	ENSG00000179626	Q8NGE1	core_surfaceome	balanced	0.258860	0.850000	P	1	P	preliminary_fase13_mvp_not_final_tiering	227d95ac3448af4b00edffbe8281c5c6b481dbd16eaaa92576f3633b21905560	6b4346e850b08f041c8e6c46b97a7396a3bba25d	0.616459	0.156191	0.457781	0.137827		not_available		0.323330	0.092469	0.031238	0.091556	-0.027565			0.032333	0.123779	0.490950	0.000000		0.750002	low_uncorrected_tme_correlation	C	not_isoform_critical_or_single_canonical_mapping	missing_stomach_cancer_ihc	HPA_missing;antibody_low_confidence;CPTAC_not_assessed	brain	lower_risk_by_current_normal_expression	v0	2026-05-29	dirty
1572	SLC2A14	ENSG00000173262	Q8TDB8	core_surfaceome	balanced	0.258680	1.000000		0		preliminary_fase13_mvp_not_final_tiering	227d95ac3448af4b00edffbe8281c5c6b481dbd16eaaa92576f3633b21905560	6b4346e850b08f041c8e6c46b97a7396a3bba25d	0.972442	0.332071	0.007952	0.393412	0.734188	not_available		0.133635	0.145866	0.066414	0.001590	-0.078682	0.110128		0.013364	0.326997	0.094775	0.800000	0.439444	0.721038	low_uncorrected_tme_correlation	C	multiple_uniprot_isoforms_mapped_not_resolved	stomach_cancer_ihc_available	CPTAC_not_assessed	hematopoietic	high_critical_off_tumor_risk	v0	2026-05-29	dirty
1573	SCARB2	ENSG00000138760	Q14108	probable_surfaceome	balanced	0.258664	1.000000		0		preliminary_fase13_mvp_not_final_tiering	227d95ac3448af4b00edffbe8281c5c6b481dbd16eaaa92576f3633b21905560	6b4346e850b08f041c8e6c46b97a7396a3bba25d	0.024915	0.951534	0.864824	0.913290	0.486610	not_available		0.013213	0.003737	0.190307	0.172965	-0.182658	0.072992		0.001321	0.937580	0.755206	1.000000	0.233889	0.320000	high_purity_adjusted_tme_correlation	E	multiple_uniprot_isoforms_mapped_not_resolved	stomach_cancer_ihc_available	protein_present_no_membrane;CPTAC_not_assessed	brain	high_critical_off_tumor_risk	v0	2026-05-29	dirty
1574	SUCNR1	ENSG00000198829	Q9BXA5	core_surfaceome	balanced	0.258626	1.000000		0		preliminary_fase13_mvp_not_final_tiering	227d95ac3448af4b00edffbe8281c5c6b481dbd16eaaa92576f3633b21905560	6b4346e850b08f041c8e6c46b97a7396a3bba25d	0.756889	0.537296	0.705793	0.652026	0.047578	not_available		0.197433	0.113533	0.107459	0.141159	-0.130405	0.007137		0.019743	0.538186	0.632980	0.900000	0.000000	0.741886	high_purity_adjusted_tme_correlation	C	not_isoform_critical_or_single_canonical_mapping	stomach_cancer_ihc_available	antibody_low_confidence;CPTAC_not_assessed	kidney	high_critical_off_tumor_risk	v0	2026-05-29	dirty
1575	OR5A1	ENSG00000172320	Q8NGJ0	core_surfaceome	balanced	0.258604	0.850000	P	1	P	preliminary_fase13_mvp_not_final_tiering	227d95ac3448af4b00edffbe8281c5c6b481dbd16eaaa92576f3633b21905560	6b4346e850b08f041c8e6c46b97a7396a3bba25d	0.596074	0.121166	0.486937	0.117758		not_available		0.323330	0.089411	0.024233	0.097387	-0.023552			0.032333	0.098618	0.511662	0.000000		0.750002	low_uncorrected_tme_correlation	C	not_isoform_critical_or_single_canonical_mapping	missing_stomach_cancer_ihc	HPA_missing;antibody_low_confidence;CPTAC_not_assessed	brain	lower_risk_by_current_normal_expression	v0	2026-05-29	dirty
1576	TMEM9	ENSG00000116857	Q9P0T7	core_surfaceome	balanced	0.258464	0.850000	P	1	P	preliminary_fase13_mvp_not_final_tiering	227d95ac3448af4b00edffbe8281c5c6b481dbd16eaaa92576f3633b21905560	6b4346e850b08f041c8e6c46b97a7396a3bba25d	0.168365	0.926543	0.725104	0.983340		not_available		0.607777	0.025255	0.185309	0.145021	-0.196668			0.060778	0.917967	0.642105	1.000000		0.861855	low_uncorrected_tme_correlation	B	not_isoform_critical_or_single_canonical_mapping	missing_stomach_cancer_ihc	HPA_missing;CPTAC_not_assessed	brain	high_critical_off_tumor_risk	v0	2026-05-29	dirty
