rank	hgnc_symbol	ensembl_gene_id	uniprot_accession	surfaceome_category	scenario	scenario_score	available_weight_sum	missing_weighted_components	n_missing_mvp_score_components	missing_mvp_score_components	ranking_status	score_config_sha256	git_commit	Surf_rank_percentile	E_rank_percentile	N_rank_percentile	R_rank_percentile_high_worse	P_rank_percentile	SC_status	SC_rank_percentile	T_rank_percentile	Surf_contribution	E_contribution	N_contribution	R_contribution_subtracted	P_contribution	SC_contribution	T_contribution	E_score	N_score	R_score	P_score	T_score	tme_contamination_risk	accessibility_class	isoform_resolution_status	hpa_evidence_status	discordance_flags	max_risk_organ	risk_interpretation	freeze_version	freeze_date_utc	git_worktree_status_at_freeze
1	ITGB4	ENSG00000132470	P16144	core_surfaceome	balanced	0.672374	1.000000		0		preliminary_fase13_mvp_not_final_tiering	227d95ac3448af4b00edffbe8281c5c6b481dbd16eaaa92576f3633b21905560	6b4346e850b08f041c8e6c46b97a7396a3bba25d	0.912420	0.988262	0.995456	0.368042	0.887464	not_available		0.792563	0.136863	0.197652	0.199091	-0.073608	0.133120		0.079256	0.966509	0.952177	0.800000	0.540000	0.932500	low_uncorrected_tme_correlation	A	multiple_uniprot_isoforms_mapped_not_resolved	stomach_cancer_ihc_available	CPTAC_not_assessed	hematopoietic	high_critical_off_tumor_risk	v0	2026-05-29	dirty
2	MPZL1	ENSG00000197965	O95297	core_surfaceome	balanced	0.651444	1.000000		0		preliminary_fase13_mvp_not_final_tiering	227d95ac3448af4b00edffbe8281c5c6b481dbd16eaaa92576f3633b21905560	6b4346e850b08f041c8e6c46b97a7396a3bba25d	0.930540	0.973874	0.994320	0.489966	0.963533	not_available		0.716874	0.139581	0.194775	0.198864	-0.097993	0.144530		0.071687	0.953862	0.938925	0.850000	0.655185	0.925913	high_purity_adjusted_tme_correlation	A	multiple_uniprot_isoforms_mapped_not_resolved	stomach_cancer_ihc_available	CPTAC_not_assessed	endothelial	high_critical_off_tumor_risk	v0	2026-05-29	dirty
3	CDH3	ENSG00000062038	P22223	core_surfaceome	balanced	0.646724	1.000000		0		preliminary_fase13_mvp_not_final_tiering	227d95ac3448af4b00edffbe8281c5c6b481dbd16eaaa92576f3633b21905560	6b4346e850b08f041c8e6c46b97a7396a3bba25d	0.850510	0.829610	0.961378	0.306702	0.953561	not_available		0.792563	0.127576	0.165922	0.192276	-0.061340	0.143034		0.079256	0.832526	0.865808	0.750000	0.644444	0.932500	low_uncorrected_tme_correlation	A	multiple_uniprot_isoforms_mapped_not_resolved	stomach_cancer_ihc_available	CPTAC_not_assessed	immune	moderate_off_tumor_risk	v0	2026-05-29	dirty
4	ITGB5	ENSG00000082781	P18084	core_surfaceome	balanced	0.640567	1.000000		0		preliminary_fase13_mvp_not_final_tiering	227d95ac3448af4b00edffbe8281c5c6b481dbd16eaaa92576f3633b21905560	6b4346e850b08f041c8e6c46b97a7396a3bba25d	0.912797	0.959106	0.857440	0.475577	0.946439	not_available		0.934881	0.136920	0.191821	0.171488	-0.095115	0.141966		0.093488	0.942654	0.747141	0.850000	0.633333	0.962500	high_purity_adjusted_tme_correlation	A	not_isoform_critical_or_single_canonical_mapping	stomach_cancer_ihc_available	CPTAC_not_assessed	endothelial	high_critical_off_tumor_risk	v0	2026-05-29	dirty
5	NECTIN2	ENSG00000130202	Q92692	core_surfaceome	balanced	0.638105	1.000000		0		preliminary_fase13_mvp_not_final_tiering	227d95ac3448af4b00edffbe8281c5c6b481dbd16eaaa92576f3633b21905560	6b4346e850b08f041c8e6c46b97a7396a3bba25d	0.933560	0.980689	0.988641	0.604317	0.972080	not_available		0.792563	0.140034	0.196138	0.197728	-0.120863	0.145812		0.079256	0.960299	0.917531	0.900000	0.668750	0.932500	low_uncorrected_tme_correlation	A	multiple_uniprot_isoforms_mapped_not_resolved	stomach_cancer_ihc_available	CPTAC_not_assessed	liver	high_critical_off_tumor_risk	v0	2026-05-29	dirty
6	IFNGR1	ENSG00000027697	P15260	core_surfaceome	balanced	0.630808	1.000000		0		preliminary_fase13_mvp_not_final_tiering	227d95ac3448af4b00edffbe8281c5c6b481dbd16eaaa92576f3633b21905560	6b4346e850b08f041c8e6c46b97a7396a3bba25d	0.901095	0.953048	0.822037	0.466869	0.936752	not_available		0.934881	0.135164	0.190610	0.164407	-0.093374	0.140513		0.093488	0.938792	0.714426	0.850000	0.614444	0.962500	high_purity_adjusted_tme_correlation	A	not_isoform_critical_or_single_canonical_mapping	stomach_cancer_ihc_available	CPTAC_not_assessed	lung	high_critical_off_tumor_risk	v0	2026-05-29	dirty
7	KIR2DS1	ENSG00000276387	Q14954	core_surfaceome	balanced	0.629898	0.250000	E;N;R;P	4	E;N;R;P	preliminary_fase13_mvp_not_final_tiering	227d95ac3448af4b00edffbe8281c5c6b481dbd16eaaa92576f3633b21905560	6b4346e850b08f041c8e6c46b97a7396a3bba25d	0.426576					not_available		0.934881	0.063986						0.093488					0.962500	not_assessable_missing_bulk_expression	A	not_isoform_critical_or_single_canonical_mapping	missing_stomach_cancer_ihc	HPA_missing;antibody_low_confidence;CPTAC_not_assessed		missing_normal_expression	v0	2026-05-29	dirty
8	KIR2DL5A	ENSG00000274143	Q8N109	core_surfaceome	balanced	0.629672	0.250000	E;N;R;P	4	E;N;R;P	preliminary_fase13_mvp_not_final_tiering	227d95ac3448af4b00edffbe8281c5c6b481dbd16eaaa92576f3633b21905560	6b4346e850b08f041c8e6c46b97a7396a3bba25d	0.426199					not_available		0.934881	0.063930						0.093488					0.962500	not_assessable_missing_bulk_expression	A	not_isoform_critical_or_single_canonical_mapping	missing_stomach_cancer_ihc	HPA_missing;antibody_low_confidence;CPTAC_not_assessed		missing_normal_expression	v0	2026-05-29	dirty
9	JAG1	ENSG00000101384	P78504	core_surfaceome	balanced	0.629475	1.000000		0		preliminary_fase13_mvp_not_final_tiering	227d95ac3448af4b00edffbe8281c5c6b481dbd16eaaa92576f3633b21905560	6b4346e850b08f041c8e6c46b97a7396a3bba25d	0.913930	0.916698	0.811435	0.475956	0.989744	not_available		0.934881	0.137089	0.183340	0.162287	-0.095191	0.148462		0.093488	0.908879	0.705983	0.850000	0.720000	0.962500	low_uncorrected_tme_correlation	A	not_isoform_critical_or_single_canonical_mapping	stomach_cancer_ihc_available	CPTAC_not_assessed	endothelial	high_critical_off_tumor_risk	v0	2026-05-29	dirty
10	TNFRSF11A	ENSG00000141655	Q9Y6Q6	core_surfaceome	balanced	0.629352	1.000000		0		preliminary_fase13_mvp_not_final_tiering	227d95ac3448af4b00edffbe8281c5c6b481dbd16eaaa92576f3633b21905560	6b4346e850b08f041c8e6c46b97a7396a3bba25d	0.994715	0.734570	0.939796	0.300265	0.840456	not_available		0.792563	0.149207	0.146914	0.187959	-0.060053	0.126068		0.079256	0.739417	0.839303	0.700000	0.510741	0.932500	low_uncorrected_tme_correlation	A	multiple_uniprot_isoforms_mapped_not_resolved	stomach_cancer_ihc_available	CPTAC_not_assessed	gi_epithelial	moderate_off_tumor_risk	v0	2026-05-29	dirty
11	EPCAM	ENSG00000119888	P16422	core_surfaceome	balanced	0.626454	1.000000		0		preliminary_fase13_mvp_not_final_tiering	227d95ac3448af4b00edffbe8281c5c6b481dbd16eaaa92576f3633b21905560	6b4346e850b08f041c8e6c46b97a7396a3bba25d	0.870895	0.964029	0.989398	0.570617	0.838462	not_available		0.934881	0.130634	0.192806	0.197880	-0.114123	0.125769		0.093488	0.946308	0.919387	0.900000	0.508333	0.962500	low_uncorrected_tme_correlation	A	not_isoform_critical_or_single_canonical_mapping	stomach_cancer_ihc_available	CPTAC_not_assessed	kidney	high_critical_off_tumor_risk	v0	2026-05-29	dirty
12	HLA-A	ENSG00000206503	P04439	core_surfaceome	balanced	0.622102	0.850000	P	1	P	preliminary_fase13_mvp_not_final_tiering	227d95ac3448af4b00edffbe8281c5c6b481dbd16eaaa92576f3633b21905560	6b4346e850b08f041c8e6c46b97a7396a3bba25d	0.897697	0.998864	0.964029	0.459674		not_available		0.934881	0.134655	0.199773	0.192806	-0.091935			0.093488	0.975824	0.869708	0.850000		0.962500	low_uncorrected_tme_correlation	A	not_isoform_critical_or_single_canonical_mapping	missing_stomach_cancer_ihc	HPA_missing;CPTAC_not_assessed	lung	high_critical_off_tumor_risk	v0	2026-05-29	dirty
13	PECAM1	ENSG00000261371	P16284	core_surfaceome	balanced	0.621421	1.000000		0		preliminary_fase13_mvp_not_final_tiering	227d95ac3448af4b00edffbe8281c5c6b481dbd16eaaa92576f3633b21905560	6b4346e850b08f041c8e6c46b97a7396a3bba25d	0.947527	0.949640	0.867096	0.502461	0.819658	not_available		0.934881	0.142129	0.189928	0.173419	-0.100492	0.122949		0.093488	0.935839	0.757819	0.850000	0.488889	0.962500	high_known_tme_marker_control	A	not_isoform_critical_or_single_canonical_mapping	stomach_cancer_ihc_available	CPTAC_not_assessed	lung	high_critical_off_tumor_risk	v0	2026-05-29	dirty
14	IL2RG	ENSG00000147168	P31785	core_surfaceome	balanced	0.618486	1.000000		0		preliminary_fase13_mvp_not_final_tiering	227d95ac3448af4b00edffbe8281c5c6b481dbd16eaaa92576f3633b21905560	6b4346e850b08f041c8e6c46b97a7396a3bba25d	0.906380	0.973495	0.943203	0.366149	0.526211	not_available		0.934881	0.135957	0.194699	0.188641	-0.073230	0.078932		0.093488	0.953256	0.842900	0.800000	0.250000	0.962500	moderate_residual_tme_correlation	A	not_isoform_critical_or_single_canonical_mapping	stomach_cancer_ihc_available	RNA_high_protein_absent;CPTAC_not_assessed	hematopoietic	high_critical_off_tumor_risk	v0	2026-05-29	dirty
15	LRRC15	ENSG00000172061	Q8TF66	core_surfaceome	balanced	0.615053	1.000000		0		preliminary_fase13_mvp_not_final_tiering	227d95ac3448af4b00edffbe8281c5c6b481dbd16eaaa92576f3633b21905560	6b4346e850b08f041c8e6c46b97a7396a3bba25d	0.924122	0.590685	0.918970	0.213934	0.920228	not_available		0.792563	0.138618	0.118137	0.183794	-0.042787	0.138034		0.079256	0.593544	0.816017	0.214351	0.583333	0.932500	high_purity_adjusted_tme_correlation	A	multiple_uniprot_isoforms_mapped_not_resolved	stomach_cancer_ihc_available	CPTAC_not_assessed	lung	lower_risk_by_current_normal_expression	v0	2026-05-29	dirty
16	ERBB2	ENSG00000141736	P04626	core_surfaceome	balanced	0.614806	1.000000		0		preliminary_fase13_mvp_not_final_tiering	227d95ac3448af4b00edffbe8281c5c6b481dbd16eaaa92576f3633b21905560	6b4346e850b08f041c8e6c46b97a7396a3bba25d	0.873537	0.967815	0.951912	0.572132	0.900000	not_available		0.792563	0.131031	0.193563	0.190382	-0.114426	0.135000		0.079256	0.948523	0.850019	0.900000	0.555556	0.932500	high_purity_adjusted_tme_correlation	A	multiple_uniprot_isoforms_mapped_not_resolved	stomach_cancer_ihc_available	CPTAC_not_assessed	kidney	high_critical_off_tumor_risk	v0	2026-05-29	dirty
17	DSC2	ENSG00000134755	Q02487	core_surfaceome	balanced	0.613322	1.000000		0		preliminary_fase13_mvp_not_final_tiering	227d95ac3448af4b00edffbe8281c5c6b481dbd16eaaa92576f3633b21905560	6b4346e850b08f041c8e6c46b97a7396a3bba25d	0.867120	0.795911	0.801212	0.308974	0.975783	not_available		0.792563	0.130068	0.159182	0.160242	-0.061795	0.146367		0.079256	0.796384	0.699243	0.750000	0.673611	0.932500	low_uncorrected_tme_correlation	A	multiple_uniprot_isoforms_mapped_not_resolved	stomach_cancer_ihc_available	CPTAC_not_assessed	immune	moderate_off_tumor_risk	v0	2026-05-29	dirty
18	ATP1B3	ENSG00000069849	P54709	core_surfaceome	balanced	0.608377	1.000000		0		preliminary_fase13_mvp_not_final_tiering	227d95ac3448af4b00edffbe8281c5c6b481dbd16eaaa92576f3633b21905560	6b4346e850b08f041c8e6c46b97a7396a3bba25d	0.830125	0.976145	0.950019	0.691405	0.956125	not_available		0.934881	0.124519	0.195229	0.190004	-0.138281	0.143419		0.093488	0.955793	0.848504	1.000000	0.648333	0.962500	low_uncorrected_tme_correlation	A	not_isoform_critical_or_single_canonical_mapping	stomach_cancer_ihc_available	CPTAC_not_assessed	brain	high_critical_off_tumor_risk	v0	2026-05-29	dirty
19	ADAM10	ENSG00000137845	O14672	core_surfaceome	balanced	0.607579	1.000000		0		preliminary_fase13_mvp_not_final_tiering	227d95ac3448af4b00edffbe8281c5c6b481dbd16eaaa92576f3633b21905560	6b4346e850b08f041c8e6c46b97a7396a3bba25d	0.817667	0.954184	0.998864	0.670201	0.899145	not_available		0.934881	0.122650	0.190837	0.199773	-0.134040	0.134872		0.093488	0.938944	0.977168	1.000000	0.554722	0.962500	high_purity_adjusted_tme_correlation	A	not_isoform_critical_or_single_canonical_mapping	stomach_cancer_ihc_available	CPTAC_not_assessed	brain	high_critical_off_tumor_risk	v0	2026-05-29	dirty
20	HLA-DRB4	ENSG00000227357	P13762	core_surfaceome	balanced	0.606342	0.250000	E;N;R;P	4	E;N;R;P	preliminary_fase13_mvp_not_final_tiering	227d95ac3448af4b00edffbe8281c5c6b481dbd16eaaa92576f3633b21905560	6b4346e850b08f041c8e6c46b97a7396a3bba25d	0.387316					not_available		0.934881	0.058097						0.093488					0.962500	not_assessable_missing_bulk_expression	A	not_isoform_critical_or_single_canonical_mapping	missing_stomach_cancer_ihc	HPA_missing;antibody_low_confidence;CPTAC_not_assessed		missing_normal_expression	v0	2026-05-29	dirty
21	HLA-DRB3	ENSG00000196101	P79483	core_surfaceome	balanced	0.606115	0.250000	E;N;R;P	4	E;N;R;P	preliminary_fase13_mvp_not_final_tiering	227d95ac3448af4b00edffbe8281c5c6b481dbd16eaaa92576f3633b21905560	6b4346e850b08f041c8e6c46b97a7396a3bba25d	0.386938					not_available		0.934881	0.058041						0.093488					0.962500	not_assessable_missing_bulk_expression	A	not_isoform_critical_or_single_canonical_mapping	missing_stomach_cancer_ihc	HPA_missing;antibody_low_confidence;CPTAC_not_assessed		missing_normal_expression	v0	2026-05-29	dirty
22	BTN3A3	ENSG00000111801	O00478	core_surfaceome	balanced	0.605661	1.000000		0		preliminary_fase13_mvp_not_final_tiering	227d95ac3448af4b00edffbe8281c5c6b481dbd16eaaa92576f3633b21905560	6b4346e850b08f041c8e6c46b97a7396a3bba25d	0.833900	0.827338	0.886407	0.419538	0.949858	not_available		0.792563	0.125085	0.165468	0.177281	-0.083908	0.142479		0.079256	0.830594	0.780803	0.850000	0.640909	0.932500	high_purity_adjusted_tme_correlation	A	multiple_uniprot_isoforms_mapped_not_resolved	stomach_cancer_ihc_available	CPTAC_not_assessed	lung	high_critical_off_tumor_risk	v0	2026-05-29	dirty
23	CD9	ENSG00000010278	P21926	core_surfaceome	balanced	0.605466	1.000000		0		preliminary_fase13_mvp_not_final_tiering	227d95ac3448af4b00edffbe8281c5c6b481dbd16eaaa92576f3633b21905560	6b4346e850b08f041c8e6c46b97a7396a3bba25d	0.848245	0.991291	0.891708	0.432033	0.922507	not_available		0.496602	0.127237	0.198258	0.178342	-0.086407	0.138376		0.049660	0.969159	0.786369	0.850000	0.585278	0.782094	low_uncorrected_tme_correlation	C	not_isoform_critical_or_single_canonical_mapping	stomach_cancer_ihc_available	CPTAC_not_assessed	endothelial	high_critical_off_tumor_risk	v0	2026-05-29	dirty
24	TGFBR1	ENSG00000106799	P36897	core_surfaceome	balanced	0.601013	1.000000		0		preliminary_fase13_mvp_not_final_tiering	227d95ac3448af4b00edffbe8281c5c6b481dbd16eaaa92576f3633b21905560	6b4346e850b08f041c8e6c46b97a7396a3bba25d	0.991317	0.858387	0.921053	0.525937	0.950997	not_available		0.589656	0.148698	0.171677	0.184211	-0.105187	0.142650		0.058966	0.865903	0.817531	0.850000	0.641389	0.843606	high_purity_adjusted_tme_correlation	B	multiple_uniprot_isoforms_mapped_not_resolved	stomach_cancer_ihc_available	CPTAC_not_assessed	endothelial	high_critical_off_tumor_risk	v0	2026-05-29	dirty
25	CD47	ENSG00000196776	Q08722	core_surfaceome	balanced	0.600219	1.000000		0		preliminary_fase13_mvp_not_final_tiering	227d95ac3448af4b00edffbe8281c5c6b481dbd16eaaa92576f3633b21905560	6b4346e850b08f041c8e6c46b97a7396a3bba25d	0.845602	0.971980	0.868610	0.428626	0.872080	not_available		0.601737	0.126840	0.194396	0.173722	-0.085725	0.130812		0.060174	0.951817	0.759409	0.850000	0.526944	0.854647	low_uncorrected_tme_correlation	B	multiple_uniprot_isoforms_mapped_not_resolved	stomach_cancer_ihc_available	CPTAC_not_assessed	lung	high_critical_off_tumor_risk	v0	2026-05-29	dirty
26	CLDN4	ENSG00000189143	O14493	core_surfaceome	balanced	0.598285	1.000000		0		preliminary_fase13_mvp_not_final_tiering	227d95ac3448af4b00edffbe8281c5c6b481dbd16eaaa92576f3633b21905560	6b4346e850b08f041c8e6c46b97a7396a3bba25d	0.856927	0.948126	0.995835	0.561151	0.988034	not_available		0.449792	0.128539	0.189625	0.199167	-0.112230	0.148205		0.044979	0.933718	0.956569	0.900000	0.715152	0.764010	low_uncorrected_tme_correlation	C	not_isoform_critical_or_single_canonical_mapping	stomach_cancer_ihc_available	CPTAC_not_assessed	kidney	high_critical_off_tumor_risk	v0	2026-05-29	dirty
27	GPRC5A	ENSG00000013588	Q8NFJ5	core_surfaceome	balanced	0.597463	1.000000		0		preliminary_fase13_mvp_not_final_tiering	227d95ac3448af4b00edffbe8281c5c6b481dbd16eaaa92576f3633b21905560	6b4346e850b08f041c8e6c46b97a7396a3bba25d	0.893922	0.950019	0.996592	0.458538	0.953561	not_available		0.227256	0.134088	0.190004	0.199318	-0.091708	0.143034		0.022726	0.935971	0.956948	0.850000	0.644444	0.745569	high_purity_adjusted_tme_correlation	C	not_isoform_critical_or_single_canonical_mapping	stomach_cancer_ihc_available	CPTAC_not_assessed	endothelial	high_critical_off_tumor_risk	v0	2026-05-29	dirty
28	CDH1	ENSG00000039068	P12830	core_surfaceome	balanced	0.596916	1.000000		0		preliminary_fase13_mvp_not_final_tiering	227d95ac3448af4b00edffbe8281c5c6b481dbd16eaaa92576f3633b21905560	6b4346e850b08f041c8e6c46b97a7396a3bba25d	0.849000	0.933737	0.979553	0.555471	0.982906	not_available		0.505663	0.127350	0.186747	0.195911	-0.111094	0.147436		0.050566	0.923268	0.898523	0.900000	0.702778	0.782500	high_purity_adjusted_tme_correlation	A	multiple_uniprot_isoforms_mapped_not_resolved	stomach_cancer_ihc_available	CPTAC_not_assessed	liver	high_critical_off_tumor_risk	v0	2026-05-29	dirty
29	SLC3A2	ENSG00000168003	P08195	core_surfaceome	balanced	0.596341	1.000000		0		preliminary_fase13_mvp_not_final_tiering	227d95ac3448af4b00edffbe8281c5c6b481dbd16eaaa92576f3633b21905560	6b4346e850b08f041c8e6c46b97a7396a3bba25d	0.976972	0.967058	0.755017	0.638016	0.888319	not_available		0.997357	0.146546	0.193412	0.151003	-0.127603	0.133248		0.099736	0.947955	0.664635	0.900000	0.540741	0.970000	low_uncorrected_tme_correlation	A	multiple_uniprot_isoforms_mapped_not_resolved	stomach_cancer_ihc_available	CPTAC_not_assessed	kidney	high_critical_off_tumor_risk	v0	2026-05-29	dirty
30	NEO1	ENSG00000067141	Q92859	core_surfaceome	balanced	0.595713	1.000000		0		preliminary_fase13_mvp_not_final_tiering	227d95ac3448af4b00edffbe8281c5c6b481dbd16eaaa92576f3633b21905560	6b4346e850b08f041c8e6c46b97a7396a3bba25d	0.933937	0.851950	0.843998	0.494888	0.907692	not_available		0.792563	0.140091	0.170390	0.168800	-0.098978	0.136154		0.079256	0.858122	0.730405	0.850000	0.565000	0.932500	low_uncorrected_tme_correlation	A	multiple_uniprot_isoforms_mapped_not_resolved	stomach_cancer_ihc_available	CPTAC_not_assessed	endothelial	high_critical_off_tumor_risk	v0	2026-05-29	dirty
31	INSR	ENSG00000171105	P06213	core_surfaceome	balanced	0.595540	1.000000		0		preliminary_fase13_mvp_not_final_tiering	227d95ac3448af4b00edffbe8281c5c6b481dbd16eaaa92576f3633b21905560	6b4346e850b08f041c8e6c46b97a7396a3bba25d	0.908267	0.853465	0.871261	0.366528	0.913960	not_available		0.505663	0.136240	0.170693	0.174252	-0.073306	0.137094		0.050566	0.860791	0.762628	0.800000	0.573333	0.782500	high_purity_adjusted_tme_correlation	A	multiple_uniprot_isoforms_mapped_not_resolved	stomach_cancer_ihc_available	CPTAC_not_assessed	hematopoietic	high_critical_off_tumor_risk	v0	2026-05-29	dirty
32	MET	ENSG00000105976	P08581	core_surfaceome	balanced	0.594636	1.000000		0		preliminary_fase13_mvp_not_final_tiering	227d95ac3448af4b00edffbe8281c5c6b481dbd16eaaa92576f3633b21905560	6b4346e850b08f041c8e6c46b97a7396a3bba25d	0.927897	0.899281	0.990155	0.600909	0.935897	not_available		0.573613	0.139185	0.179856	0.198031	-0.120182	0.140385		0.057361	0.894491	0.922037	0.900000	0.613611	0.832500	low_uncorrected_tme_correlation	A	multiple_uniprot_isoforms_mapped_not_resolved	stomach_cancer_ihc_available	CPTAC_not_assessed	kidney	high_critical_off_tumor_risk	v0	2026-05-29	dirty
33	NOTCH3	ENSG00000074181	Q9UM47	core_surfaceome	balanced	0.593697	1.000000		0		preliminary_fase13_mvp_not_final_tiering	227d95ac3448af4b00edffbe8281c5c6b481dbd16eaaa92576f3633b21905560	6b4346e850b08f041c8e6c46b97a7396a3bba25d	0.936580	0.918591	0.858387	0.496403	0.951567	not_available		0.543601	0.140487	0.183718	0.171677	-0.099281	0.142735		0.054360	0.909523	0.747899	0.850000	0.642222	0.812500	high_purity_adjusted_tme_correlation	A	not_isoform_critical_or_single_canonical_mapping	stomach_cancer_ihc_available	CPTAC_not_assessed	endothelial	high_critical_off_tumor_risk	v0	2026-05-29	dirty
34	CD86	ENSG00000114013	P42081	core_surfaceome	balanced	0.592934	1.000000		0		preliminary_fase13_mvp_not_final_tiering	227d95ac3448af4b00edffbe8281c5c6b481dbd16eaaa92576f3633b21905560	6b4346e850b08f041c8e6c46b97a7396a3bba25d	0.847112	0.728133	0.929951	0.431655	0.942165	not_available		0.792563	0.127067	0.145627	0.185990	-0.086331	0.141325		0.079256	0.732355	0.827187	0.850000	0.624167	0.932500	high_purity_adjusted_tme_correlation	A	multiple_uniprot_isoforms_mapped_not_resolved	stomach_cancer_ihc_available	CPTAC_not_assessed	lung	high_critical_off_tumor_risk	v0	2026-05-29	dirty
35	ITGB1	ENSG00000150093	P05556	core_surfaceome	balanced	0.592309	1.000000		0		preliminary_fase13_mvp_not_final_tiering	227d95ac3448af4b00edffbe8281c5c6b481dbd16eaaa92576f3633b21905560	6b4346e850b08f041c8e6c46b97a7396a3bba25d	0.911287	0.990534	0.922567	0.474820	0.782621	not_available		0.505663	0.136693	0.198107	0.184513	-0.094964	0.117393		0.050566	0.968667	0.818894	0.850000	0.459722	0.782500	high_purity_adjusted_tme_correlation	A	multiple_uniprot_isoforms_mapped_not_resolved	stomach_cancer_ihc_available	CPTAC_not_assessed	endothelial	high_critical_off_tumor_risk	v0	2026-05-29	dirty
36	IL12RB2	ENSG00000081985	Q99665	core_surfaceome	balanced	0.590604	1.000000		0		preliminary_fase13_mvp_not_final_tiering	227d95ac3448af4b00edffbe8281c5c6b481dbd16eaaa92576f3633b21905560	6b4346e850b08f041c8e6c46b97a7396a3bba25d	0.903360	0.468383	0.885271	0.212041	0.983476	not_available		0.792563	0.135504	0.093677	0.177054	-0.042408	0.147521		0.079256	0.467096	0.780121	0.209201	0.703889	0.932500	high_purity_adjusted_tme_correlation	A	multiple_uniprot_isoforms_mapped_not_resolved	stomach_cancer_ihc_available	RNA_low_protein_present;CPTAC_not_assessed	brain	lower_risk_by_current_normal_expression	v0	2026-05-29	dirty
37	EVI2B	ENSG00000185862	P34910	core_surfaceome	balanced	0.590478	1.000000		0		preliminary_fase13_mvp_not_final_tiering	227d95ac3448af4b00edffbe8281c5c6b481dbd16eaaa92576f3633b21905560	6b4346e850b08f041c8e6c46b97a7396a3bba25d	0.875047	0.850057	0.822794	0.447179	0.803989	not_available		0.934881	0.131257	0.170011	0.164559	-0.089436	0.120598		0.093488	0.857251	0.715070	0.850000	0.473333	0.962500	high_purity_adjusted_tme_correlation	A	not_isoform_critical_or_single_canonical_mapping	stomach_cancer_ihc_available	CPTAC_not_assessed	lung	high_critical_off_tumor_risk	v0	2026-05-29	dirty
38	CD44	ENSG00000026508	P16070	core_surfaceome	balanced	0.588803	1.000000		0		preliminary_fase13_mvp_not_final_tiering	227d95ac3448af4b00edffbe8281c5c6b481dbd16eaaa92576f3633b21905560	6b4346e850b08f041c8e6c46b97a7396a3bba25d	0.844847	0.989019	0.989019	0.336994	0.838462	not_available		0.080974	0.126727	0.197804	0.197804	-0.067399	0.125769		0.008097	0.967039	0.917796	0.800000	0.508333	0.682500	low_uncorrected_tme_correlation	A	multiple_uniprot_isoforms_mapped_not_resolved	stomach_cancer_ihc_available	CPTAC_not_assessed	hematopoietic	high_critical_off_tumor_risk	v0	2026-05-29	dirty
39	NOTCH2	ENSG00000134250	Q04721	core_surfaceome	balanced	0.588442	1.000000		0		preliminary_fase13_mvp_not_final_tiering	227d95ac3448af4b00edffbe8281c5c6b481dbd16eaaa92576f3633b21905560	6b4346e850b08f041c8e6c46b97a7396a3bba25d	0.936202	0.848921	0.903824	0.496024	0.948718	not_available		0.543601	0.140430	0.169784	0.180765	-0.099205	0.142308		0.054360	0.856361	0.801325	0.850000	0.635152	0.812500	high_purity_adjusted_tme_correlation	A	not_isoform_critical_or_single_canonical_mapping	stomach_cancer_ihc_available	CPTAC_not_assessed	endothelial	high_critical_off_tumor_risk	v0	2026-05-29	dirty
40	CHRNA5	ENSG00000169684	P30532	core_surfaceome	balanced	0.586567	1.000000		0		preliminary_fase13_mvp_not_final_tiering	227d95ac3448af4b00edffbe8281c5c6b481dbd16eaaa92576f3633b21905560	6b4346e850b08f041c8e6c46b97a7396a3bba25d	0.854662	0.673230	0.995078	0.240439	0.699715	not_available		0.678369	0.128199	0.134646	0.199016	-0.048088	0.104957		0.067837	0.680765	0.951685	0.256721	0.390000	0.892500	low_uncorrected_tme_correlation	B	not_isoform_critical_or_single_canonical_mapping	stomach_cancer_ihc_available	CPTAC_not_assessed	heart	lower_risk_by_current_normal_expression	v0	2026-05-29	dirty
41	PROM1	ENSG00000007062	O43490	core_surfaceome	balanced	0.586373	1.000000		0		preliminary_fase13_mvp_not_final_tiering	227d95ac3448af4b00edffbe8281c5c6b481dbd16eaaa92576f3633b21905560	6b4346e850b08f041c8e6c46b97a7396a3bba25d	0.952057	0.830367	0.967058	0.613404	0.962393	not_available		0.624009	0.142809	0.166073	0.193412	-0.122681	0.144359		0.062401	0.833094	0.874972	0.900000	0.654167	0.862500	low_uncorrected_tme_correlation	B	multiple_uniprot_isoforms_mapped_not_resolved	stomach_cancer_ihc_available	CPTAC_not_assessed	kidney	high_critical_off_tumor_risk	v0	2026-05-29	dirty
42	ITGA3	ENSG00000005884	P26006	core_surfaceome	balanced	0.586146	1.000000		0		preliminary_fase13_mvp_not_final_tiering	227d95ac3448af4b00edffbe8281c5c6b481dbd16eaaa92576f3633b21905560	6b4346e850b08f041c8e6c46b97a7396a3bba25d	0.909022	0.958728	0.896630	0.591064	0.975783	not_available		0.505663	0.136353	0.191746	0.179326	-0.118213	0.146367		0.050566	0.942465	0.795153	0.900000	0.673611	0.782500	low_uncorrected_tme_correlation	A	multiple_uniprot_isoforms_mapped_not_resolved	stomach_cancer_ihc_available	CPTAC_not_assessed	kidney	high_critical_off_tumor_risk	v0	2026-05-29	dirty
