rank	hgnc_symbol	ensembl_gene_id	uniprot_accession	surfaceome_category	scenario	scenario_score	available_weight_sum	missing_weighted_components	n_missing_mvp_score_components	missing_mvp_score_components	Surf_relative_confidence	E_rank_percentile	N_rank_percentile	R_rank_percentile_high_worse	P_rank_percentile	SC_status	SC_rank_percentile	T_rank_percentile	Surf_contribution	E_contribution	N_contribution	R_contribution_subtracted	P_contribution	SC_contribution	T_contribution	E_score	N_score	R_score	P_score	T_score	tme_contamination_risk	accessibility_class	isoform_resolution_status	hpa_evidence_status	discordance_flags	max_risk_organ	risk_interpretation
718	FRAS1	ENSG00000138759	Q86XX4	core_surfaceome	safety_first	0.271779	1.000000		0		0.400000	0.574768	0.862709	0.599629	0.282560	not_available		0.789308	0.048000	0.086215	0.189796	-0.167896	0.036733		0.078931	0.577236	0.753173	0.900000	0.174722	0.932500	low_uncorrected_tme_correlation	A	multiple_uniprot_isoforms_mapped_not_resolved	stomach_cancer_ihc_available	protein_present_no_membrane;CPTAC_not_assessed	kidney	high_critical_off_tumor_risk
719	RELL1	ENSG00000181826	Q8IUW5	core_surfaceome	safety_first	0.271730	1.000000		0		0.600000	0.770315	0.762894	0.832282	0.969257	not_available		0.233814	0.072000	0.115547	0.167837	-0.233039	0.126003		0.023381	0.773321	0.668126	1.000000	0.663939	0.746724	high_purity_adjusted_tme_correlation	C	not_isoform_critical_or_single_canonical_mapping	stomach_cancer_ihc_available	CPTAC_not_assessed	brain	high_critical_off_tumor_risk
720	IGF2R	ENSG00000197081	P11717	probable_surfaceome	safety_first	0.271596	1.000000		0		0.000000	0.903896	0.957328	0.470501	0.413639	not_available		0.033666	0.000000	0.135584	0.210612	-0.131740	0.053773		0.003367	0.899666	0.860408	0.850000	0.206667	0.450000	high_purity_adjusted_tme_correlation	E	not_isoform_critical_or_single_canonical_mapping	stomach_cancer_ihc_available	protein_present_no_membrane;CPTAC_not_assessed	lung	high_critical_off_tumor_risk
721	KIR3DL1	ENSG00000167633	P43629	core_surfaceome	safety_first	0.271464	0.870000	P	1	P	0.400000	0.287570	0.564007	0.207050		not_available		0.789308	0.048000	0.043136	0.124082	-0.057974			0.078931	0.287774	0.565158	0.204378		0.932500	moderate_residual_tme_correlation	A	multiple_uniprot_isoforms_mapped_not_resolved	missing_stomach_cancer_ihc	HPA_missing;antibody_low_confidence;CPTAC_not_assessed	hematopoietic	lower_risk_by_current_normal_expression
722	TM9SF4	ENSG00000101337	Q92544	core_surfaceome	safety_first	0.270857	1.000000		0		0.200000	0.932839	0.965121	0.832282	0.464785	not_available		0.672216	0.024000	0.139926	0.212327	-0.233039	0.060422		0.067222	0.923191	0.872801	1.000000	0.223333	0.892500	high_purity_adjusted_tme_correlation	B	not_isoform_critical_or_single_canonical_mapping	stomach_cancer_ihc_available	protein_present_no_membrane;CPTAC_not_assessed	brain	high_critical_off_tumor_risk
723	ATP2B1	ENSG00000070961	P20020	core_surfaceome	safety_first	0.270679	1.000000		0		0.400000	0.863822	0.862152	0.832282	0.954444	not_available		0.123936	0.048000	0.129573	0.189673	-0.233039	0.124078		0.012394	0.868720	0.752839	1.000000	0.644444	0.714379	low_uncorrected_tme_correlation	C	multiple_uniprot_isoforms_mapped_not_resolved	stomach_cancer_ihc_available	CPTAC_not_assessed	brain	high_critical_off_tumor_risk
724	CD99	ENSG00000002586	P14209	core_surfaceome	safety_first	0.270339	1.000000		0		0.200000	0.984601	0.753618	0.470501	0.047513	not_available		0.584166	0.024000	0.147690	0.165796	-0.131740	0.006177		0.058417	0.963043	0.663636	0.850000	0.000000	0.846469	moderate_residual_tme_correlation	B	multiple_uniprot_isoforms_mapped_not_resolved	stomach_cancer_ihc_available	RNA_high_protein_absent;CPTAC_not_assessed	endothelial	high_critical_off_tumor_risk
725	OR2M7	ENSG00000177186	Q8NG81	core_surfaceome	safety_first	0.270292	0.870000	P	1	P	0.400000	0.106679	0.741373	0.085343		not_available		0.319460	0.048000	0.016002	0.163102	-0.023896			0.031946	0.092356	0.653711	0.000000		0.750002	low_uncorrected_tme_correlation	C	not_isoform_critical_or_single_canonical_mapping	missing_stomach_cancer_ihc	HPA_missing;antibody_low_confidence;CPTAC_not_assessed	brain	lower_risk_by_current_normal_expression
726	TREML1	ENSG00000161911	Q86YW5	core_surfaceome	safety_first	0.270232	1.000000		0		0.400000	0.398145	0.529499	0.364564	0.762717	not_available		0.489456	0.048000	0.059722	0.116490	-0.102078	0.099153		0.048946	0.396271	0.542449	0.800000	0.450000	0.781700	moderate_purity_confounded	A	multiple_uniprot_isoforms_mapped_not_resolved	stomach_cancer_ihc_available	CPTAC_not_assessed	hematopoietic	high_critical_off_tumor_risk
727	OR2AE1	ENSG00000244623	Q8NHA4	core_surfaceome	safety_first	0.270045	1.000000		0		0.400000	0.231169	0.787013	0.085343	0.047513	not_available		0.319460	0.048000	0.034675	0.173143	-0.023896	0.006177		0.031946	0.223655	0.688794	0.000000	0.000000	0.750002	low_uncorrected_tme_correlation	C	not_isoform_critical_or_single_canonical_mapping	stomach_cancer_ihc_available	antibody_low_confidence;CPTAC_not_assessed	brain	lower_risk_by_current_normal_expression
728	CR2	ENSG00000117322	P20023	core_surfaceome	safety_first	0.270030	1.000000		0		0.400000	0.575510	0.512801	0.364564	0.354108	not_available		0.789308	0.048000	0.086326	0.112816	-0.102078	0.046034		0.078931	0.577514	0.533173	0.800000	0.200000	0.932500	high_purity_adjusted_tme_correlation	A	multiple_uniprot_isoforms_mapped_not_resolved	stomach_cancer_ihc_available	CPTAC_not_assessed	hematopoietic	high_critical_off_tumor_risk
729	ELFN1	ENSG00000225968	P0C7U0	core_surfaceome	safety_first	0.269866	0.870000	P	1	P	0.400000	0.555102	0.808163	0.599629		not_available		0.936182	0.048000	0.083265	0.177796	-0.167896			0.093618	0.556011	0.704416	0.900000		0.962500	high_purity_adjusted_tme_correlation	A	not_isoform_critical_or_single_canonical_mapping	missing_stomach_cancer_ihc	HPA_missing;CPTAC_not_assessed	liver	high_critical_off_tumor_risk
730	HTR2B	ENSG00000135914	P41595	core_surfaceome	safety_first	0.269765	1.000000		0		0.400000	0.488683	0.519109	0.290167	0.481833	not_available		0.528672	0.048000	0.073302	0.114204	-0.081247	0.062638		0.052867	0.489555	0.537922	0.700000	0.230303	0.803665	watchlist_uncorrected_tme_correlation	C	not_isoform_critical_or_single_canonical_mapping	stomach_cancer_ihc_available	RNA_low_protein_present;protein_present_no_membrane;CPTAC_not_assessed	gi_epithelial	moderate_off_tumor_risk
731	TSPAN3	ENSG00000140391	O60637	core_surfaceome	safety_first	0.269692	1.000000		0		0.400000	0.993321	0.984416	0.832282	0.233371	not_available		0.588235	0.048000	0.148998	0.216572	-0.233039	0.030338		0.058824	0.971169	0.909239	1.000000	0.149091	0.848769	low_uncorrected_tme_correlation	B	multiple_uniprot_isoforms_mapped_not_resolved	stomach_cancer_ihc_available	protein_present_no_membrane;CPTAC_not_assessed	brain	high_critical_off_tumor_risk
732	OR8D2	ENSG00000279116	Q9GZM6	core_surfaceome	safety_first	0.269588	0.870000	P	1	P	0.400000	0.110761	0.735807	0.085343		not_available		0.319460	0.048000	0.016614	0.161878	-0.023896			0.031946	0.093061	0.649573	0.000000		0.750002	low_uncorrected_tme_correlation	C	not_isoform_critical_or_single_canonical_mapping	missing_stomach_cancer_ihc	HPA_missing;antibody_low_confidence;CPTAC_not_assessed	brain	lower_risk_by_current_normal_expression
733	OR2Z1	ENSG00000181733	Q8NG97	core_surfaceome	safety_first	0.269491	1.000000		0		0.400000	0.159926	0.770315	0.085343	0.153717	not_available		0.319460	0.048000	0.023989	0.169469	-0.023896	0.019983		0.031946	0.126289	0.675121	0.000000	0.058333	0.750002	low_uncorrected_tme_correlation	C	not_isoform_critical_or_single_canonical_mapping	stomach_cancer_ihc_available	antibody_low_confidence;CPTAC_not_assessed	brain	lower_risk_by_current_normal_expression
734	OR1E2	ENSG00000127780	P47887	core_surfaceome	safety_first	0.269354	0.870000	P	1	P	0.400000	0.117440	0.708720	0.085343		not_available		0.367000	0.048000	0.017616	0.155918	-0.023896			0.036700	0.096456	0.634620	0.000000		0.751038	low_uncorrected_tme_correlation	C	not_isoform_critical_or_single_canonical_mapping	missing_stomach_cancer_ihc	HPA_missing;antibody_low_confidence;CPTAC_not_assessed	brain	lower_risk_by_current_normal_expression
735	SIRPA	ENSG00000198053	P78324	core_surfaceome	safety_first	0.269335	1.000000		0		0.400000	0.885343	0.837848	0.832282	0.448575	not_available		0.789308	0.048000	0.132801	0.184327	-0.233039	0.058315		0.078931	0.884416	0.728312	1.000000	0.219444	0.932500	watchlist_uncorrected_tme_correlation	A	multiple_uniprot_isoforms_mapped_not_resolved	stomach_cancer_ihc_available	CPTAC_not_assessed	brain	high_critical_off_tumor_risk
736	LHCGR	ENSG00000138039	P22888	core_surfaceome	safety_first	0.269115	1.000000		0		0.600000	0.220037	0.164378	0.191095	0.878703	not_available		0.672216	0.072000	0.033006	0.036163	-0.053506	0.114231		0.067222	0.205974	0.241781	0.164091	0.530606	0.892500	watchlist_uncorrected_tme_correlation	B	not_isoform_critical_or_single_canonical_mapping	stomach_cancer_ihc_available	CPTAC_not_assessed	gi_epithelial	lower_risk_by_current_normal_expression
737	OR10G6	ENSG00000198674	Q8NH81	core_surfaceome	safety_first	0.269032	0.870000	P	1	P	0.400000	0.030983	0.741002	0.085343		not_available		0.422863	0.048000	0.004647	0.163020	-0.023896			0.042286	0.082783	0.653525	0.000000		0.758475	low_uncorrected_tme_correlation	C	not_isoform_critical_or_single_canonical_mapping	missing_stomach_cancer_ihc	HPA_missing;antibody_low_confidence;CPTAC_not_assessed	brain	lower_risk_by_current_normal_expression
