rank	hgnc_symbol	ensembl_gene_id	uniprot_accession	surfaceome_category	scenario	scenario_score	available_weight_sum	missing_weighted_components	n_missing_mvp_score_components	missing_mvp_score_components	Surf_relative_confidence	E_rank_percentile	N_rank_percentile	R_rank_percentile_high_worse	P_rank_percentile	SC_status	SC_rank_percentile	T_rank_percentile	Surf_contribution	E_contribution	N_contribution	R_contribution_subtracted	P_contribution	SC_contribution	T_contribution	E_score	N_score	R_score	P_score	T_score	tme_contamination_risk	accessibility_class	isoform_resolution_status	hpa_evidence_status	discordance_flags	max_risk_organ	risk_interpretation
1149	TAS2R10	ENSG00000121318	Q9NYW0	core_surfaceome	novelty_focused	0.306818	0.860000	P	1	P	0.600000	0.272727	0.433024	0.085343		not_available		0.319460	0.102000	0.049091	0.086605	-0.015362			0.041530	0.271113	0.471002	0.000000		0.750002	low_uncorrected_tme_correlation	C	not_isoform_critical_or_single_canonical_mapping	missing_stomach_cancer_ihc	HPA_missing;CPTAC_not_assessed	brain	lower_risk_by_current_normal_expression
1150	GFRA3	ENSG00000146013	O60609	core_surfaceome	novelty_focused	0.306431	1.000000		0		0.600000	0.494249	0.196289	0.832282	0.961710	not_available		0.702923	0.102000	0.088965	0.039258	-0.149811	0.134639		0.091380	0.494212	0.268646	1.000000	0.653333	0.920000	low_uncorrected_tme_correlation	A	multiple_uniprot_isoforms_mapped_not_resolved	stomach_cancer_ihc_available	RNA_low_protein_present;CPTAC_not_assessed	brain	high_critical_off_tumor_risk
1151	OR12D3	ENSG00000112462	Q9UGF7	core_surfaceome	novelty_focused	0.306184	0.860000	P	1	P	0.400000	0.102783	0.753247	0.085343		not_available		0.319460	0.068000	0.018501	0.150649	-0.015362			0.041530	0.091688	0.662393	0.000000		0.750002	low_uncorrected_tme_correlation	C	not_isoform_critical_or_single_canonical_mapping	missing_stomach_cancer_ihc	HPA_missing;antibody_low_confidence;CPTAC_not_assessed	brain	lower_risk_by_current_normal_expression
1152	FZD8	ENSG00000177283	Q9H461	core_surfaceome	novelty_focused	0.306086	1.000000		0		0.400000	0.692022	0.435622	0.832282	0.634433	not_available		0.672216	0.068000	0.124564	0.087124	-0.149811	0.088821		0.087388	0.699221	0.473098	1.000000	0.284444	0.892500	high_purity_adjusted_tme_correlation	B	not_isoform_critical_or_single_canonical_mapping	stomach_cancer_ihc_available	CPTAC_not_assessed	heart	high_critical_off_tumor_risk
1153	OR1E2	ENSG00000127780	P47887	core_surfaceome	novelty_focused	0.306083	0.860000	P	1	P	0.400000	0.117440	0.708720	0.085343		not_available		0.367000	0.068000	0.021139	0.141744	-0.015362			0.047710	0.096456	0.634620	0.000000		0.751038	low_uncorrected_tme_correlation	C	not_isoform_critical_or_single_canonical_mapping	missing_stomach_cancer_ihc	HPA_missing;antibody_low_confidence;CPTAC_not_assessed	brain	lower_risk_by_current_normal_expression
1154	HAVCR1	ENSG00000113249	Q96D42	core_surfaceome	novelty_focused	0.305929	1.000000		0		0.400000	0.440816	0.621150	0.599629	0.147010	not_available		0.936182	0.068000	0.079347	0.124230	-0.107933	0.020581		0.121704	0.444193	0.596364	0.900000	0.051389	0.962500	low_uncorrected_tme_correlation	A	not_isoform_critical_or_single_canonical_mapping	stomach_cancer_ihc_available	RNA_low_protein_present;protein_present_no_membrane;antibody_low_confidence;CPTAC_not_assessed	kidney	high_critical_off_tumor_risk
1155	UPK1A	ENSG00000105668	O00322	core_surfaceome	novelty_focused	0.305655	1.000000		0		0.400000	0.350278	0.249722	0.290167	0.712130	not_available		0.593785	0.068000	0.063050	0.049944	-0.052230	0.099698		0.077192	0.343748	0.318071	0.700000	0.400000	0.853007	low_uncorrected_tme_correlation	B	multiple_uniprot_isoforms_mapped_not_resolved	stomach_cancer_ihc_available	CPTAC_not_assessed	gi_epithelial	moderate_off_tumor_risk
1156	KCNK1	ENSG00000135750	O00180	core_surfaceome	novelty_focused	0.305579	1.000000		0		0.200000	0.847495	0.864193	0.832282	0.193963	not_available		0.529597	0.034000	0.152549	0.172839	-0.149811	0.027155		0.068848	0.851985	0.755325	1.000000	0.106667	0.807655	low_uncorrected_tme_correlation	C	not_isoform_critical_or_single_canonical_mapping	stomach_cancer_ihc_available	protein_present_no_membrane;CPTAC_not_assessed	brain	high_critical_off_tumor_risk
1157	LY6D	ENSG00000167656	Q14210	core_surfaceome	novelty_focused	0.305567	1.000000		0		0.400000	0.559555	0.238590	0.312987	0.486305	not_available		0.595265	0.068000	0.100720	0.047718	-0.056338	0.068083		0.077384	0.560408	0.309388	0.750000	0.231818	0.853668	low_uncorrected_tme_correlation	B	not_isoform_critical_or_single_canonical_mapping	stomach_cancer_ihc_available	CPTAC_not_assessed	immune	moderate_off_tumor_risk
1158	CD300LD	ENSG00000204345	Q6UXZ3	core_surfaceome	novelty_focused	0.305464	1.000000		0		0.400000	0.154917	0.445269	0.085343	0.156792	not_available		0.876434	0.068000	0.027885	0.089054	-0.015362	0.021951		0.113936	0.123098	0.482430	0.000000	0.063636	0.961700	low_uncorrected_tme_correlation	A	not_isoform_critical_or_single_canonical_mapping	stomach_cancer_ihc_available	antibody_low_confidence;CPTAC_not_assessed	brain	lower_risk_by_current_normal_expression
1159	SLC9A6	ENSG00000198689	Q92581	core_surfaceome	novelty_focused	0.305305	1.000000		0		0.200000	0.743970	0.794063	0.832282	0.904695	not_available		0.013319	0.034000	0.133915	0.158813	-0.149811	0.126657		0.001731	0.748609	0.694212	1.000000	0.556944	0.320000	low_uncorrected_tme_correlation	E	multiple_uniprot_isoforms_mapped_not_resolved	stomach_cancer_ihc_available	CPTAC_not_assessed	brain	high_critical_off_tumor_risk
1160	OR4K3	ENSG00000176290	Q96R72	core_surfaceome	novelty_focused	0.305265	0.860000	P	1	P	0.400000	0.095918	0.755473	0.085343		not_available		0.319460	0.068000	0.017265	0.151095	-0.015362			0.041530	0.090538	0.664954	0.000000		0.750002	low_uncorrected_tme_correlation	C	not_isoform_critical_or_single_canonical_mapping	missing_stomach_cancer_ihc	HPA_missing;antibody_low_confidence;CPTAC_not_assessed	brain	lower_risk_by_current_normal_expression
1161	OR5T2	ENSG00000181718	Q8NGG2	core_surfaceome	novelty_focused	0.305091	0.860000	P	1	P	0.400000	0.135250	0.623377	0.085343		not_available		0.467074	0.068000	0.024345	0.124675	-0.015362			0.060720	0.113785	0.597699	0.000000		0.771400	low_uncorrected_tme_correlation	C	not_isoform_critical_or_single_canonical_mapping	missing_stomach_cancer_ihc	HPA_missing;antibody_low_confidence;CPTAC_not_assessed	brain	lower_risk_by_current_normal_expression
1162	OR4C13	ENSG00000258817	Q8NGP0	core_surfaceome	novelty_focused	0.304959	0.860000	P	1	P	0.400000	0.144341	0.710575	0.085343		not_available		0.319460	0.068000	0.025981	0.142115	-0.015362			0.041530	0.117978	0.635751	0.000000		0.750002	low_uncorrected_tme_correlation	C	not_isoform_critical_or_single_canonical_mapping	missing_stomach_cancer_ihc	HPA_missing;antibody_low_confidence;CPTAC_not_assessed	brain	lower_risk_by_current_normal_expression
