rank	hgnc_symbol	ensembl_gene_id	uniprot_accession	surfaceome_category	scenario	scenario_score	available_weight_sum	missing_weighted_components	n_missing_mvp_score_components	missing_mvp_score_components	Surf_relative_confidence	E_rank_percentile	N_rank_percentile	R_rank_percentile_high_worse	P_rank_percentile	SC_status	SC_rank_percentile	T_rank_percentile	Surf_contribution	E_contribution	N_contribution	R_contribution_subtracted	P_contribution	SC_contribution	T_contribution	E_score	N_score	R_score	P_score	T_score	tme_contamination_risk	accessibility_class	isoform_resolution_status	hpa_evidence_status	discordance_flags	max_risk_organ	risk_interpretation
609	TEK	ENSG00000120156	Q02763	core_surfaceome	protein_first	0.378041	1.000000		0		0.600000	0.615955	0.399258	0.470501	0.835103	not_available		0.080466	0.090000	0.092393	0.071866	-0.084690	0.200425		0.008047	0.620761	0.441484	0.850000	0.504848	0.682500	high_purity_adjusted_tme_correlation	A	multiple_uniprot_isoforms_mapped_not_resolved	stomach_cancer_ihc_available	CPTAC_not_assessed	lung	high_critical_off_tumor_risk
610	ADAM15	ENSG00000143537	Q13444	core_surfaceome	protein_first	0.377795	1.000000		0		0.400000	0.969944	0.816327	0.470501	0.129681	not_available		0.789308	0.060000	0.145492	0.146939	-0.084690	0.031123		0.078931	0.950575	0.710724	0.850000	0.031944	0.932500	low_uncorrected_tme_correlation	A	multiple_uniprot_isoforms_mapped_not_resolved	stomach_cancer_ihc_available	protein_present_no_membrane;antibody_low_confidence;CPTAC_not_assessed	lung	high_critical_off_tumor_risk
611	SLCO4A1	ENSG00000101187	Q96BD0	core_surfaceome	protein_first	0.377647	1.000000		0		0.400000	0.835993	0.610390	0.832282	0.695920	not_available		0.651683	0.060000	0.125399	0.109870	-0.149811	0.167021		0.065168	0.838553	0.592505	1.000000	0.366212	0.879872	low_uncorrected_tme_correlation	B	not_isoform_critical_or_single_canonical_mapping	stomach_cancer_ihc_available	CPTAC_not_assessed	heart	high_critical_off_tumor_risk
612	ITGA5	ENSG00000161638	P08648	core_surfaceome	protein_first	0.377491	1.000000		0		0.400000	0.938033	0.193692	0.470501	0.720235	not_available		0.537551	0.060000	0.140705	0.034865	-0.084690	0.172856		0.053755	0.927273	0.265269	0.850000	0.411667	0.812500	high_purity_adjusted_tme_correlation	A	not_isoform_critical_or_single_canonical_mapping	stomach_cancer_ihc_available	CPTAC_not_assessed	endothelial	high_critical_off_tumor_risk
613	SLAMF8	ENSG00000158714	Q9P0V8	core_surfaceome	protein_first	0.377215	1.000000		0		0.400000	0.765492	0.941002	0.470501	0.161543	not_available		0.789308	0.060000	0.114824	0.169380	-0.084690	0.038770		0.078931	0.770594	0.842560	0.850000	0.066667	0.932500	high_purity_adjusted_tme_correlation	A	multiple_uniprot_isoforms_mapped_not_resolved	stomach_cancer_ihc_available	RNA_high_protein_absent;CPTAC_not_assessed	lung	high_critical_off_tumor_risk
614	LAMP1	ENSG00000185896	P11279	probable_surfaceome	protein_first	0.377155	1.000000		0		0.000000	0.982560	0.932839	0.599629	0.696758	not_available		0.025712	0.000000	0.147384	0.167911	-0.107933	0.167222		0.002571	0.962189	0.832468	0.900000	0.370000	0.350000	low_uncorrected_tme_correlation	E	not_isoform_critical_or_single_canonical_mapping	stomach_cancer_ihc_available	protein_present_no_membrane;CPTAC_not_assessed	liver	high_critical_off_tumor_risk
615	VTCN1	ENSG00000134258	Q7Z7D3	core_surfaceome	protein_first	0.376867	1.000000		0		0.400000	0.483488	0.522449	0.599629	0.867803	not_available		0.499630	0.060000	0.072523	0.094041	-0.107933	0.208273		0.049963	0.483191	0.539332	0.900000	0.520303	0.782500	low_uncorrected_tme_correlation	A	multiple_uniprot_isoforms_mapped_not_resolved	stomach_cancer_ihc_available	CPTAC_not_assessed	kidney	high_critical_off_tumor_risk
616	DPEP1	ENSG00000015413	P16444	core_surfaceome	protein_first	0.376624	1.000000		0		0.400000	0.650093	0.364378	0.599629	0.731694	not_available		0.858491	0.060000	0.097514	0.065588	-0.107933	0.175607		0.085849	0.654564	0.412059	0.900000	0.421667	0.950000	low_uncorrected_tme_correlation	A	not_isoform_critical_or_single_canonical_mapping	stomach_cancer_ihc_available	CPTAC_not_assessed	kidney	high_critical_off_tumor_risk
617	SEMA6A	ENSG00000092421	Q9H2E6	core_surfaceome	protein_first	0.376238	1.000000		0		0.400000	0.733210	0.640074	0.832282	0.674679	not_available		0.789308	0.060000	0.109981	0.115213	-0.149811	0.161923		0.078931	0.736345	0.604824	1.000000	0.327037	0.932500	low_uncorrected_tme_correlation	A	multiple_uniprot_isoforms_mapped_not_resolved	stomach_cancer_ihc_available	protein_present_no_membrane;CPTAC_not_assessed	brain	high_critical_off_tumor_risk
618	VSIG10	ENSG00000176834	Q8N0Z9	core_surfaceome	protein_first	0.375923	1.000000		0		0.400000	0.855659	0.929128	0.470501	0.047513	not_available		0.936182	0.060000	0.128349	0.167243	-0.084690	0.011403		0.093618	0.862560	0.827904	0.850000	0.000000	0.962500	low_uncorrected_tme_correlation	A	not_isoform_critical_or_single_canonical_mapping	stomach_cancer_ihc_available	RNA_high_protein_absent;CPTAC_not_assessed	lung	high_critical_off_tumor_risk
