rank	hgnc_symbol	ensembl_gene_id	uniprot_accession	surfaceome_category	scenario	scenario_score	available_weight_sum	missing_weighted_components	n_missing_mvp_score_components	missing_mvp_score_components	Surf_relative_confidence	E_rank_percentile	N_rank_percentile	R_rank_percentile_high_worse	P_rank_percentile	SC_status	SC_rank_percentile	T_rank_percentile	Surf_contribution	E_contribution	N_contribution	R_contribution_subtracted	P_contribution	SC_contribution	T_contribution	E_score	N_score	R_score	P_score	T_score	tme_contamination_risk	accessibility_class	isoform_resolution_status	hpa_evidence_status	discordance_flags	max_risk_organ	risk_interpretation
2478	ITGA10	ENSG00000143127	O75578	core_surfaceome	adc_focused	0.123441	0.830000	P	1	P	0.400000	0.422263	0.074954	0.832282		not_available		0.789308	0.060000	0.101343	0.011993	-0.149811			0.078931	0.422690	0.163043	1.000000		0.932500	high_purity_adjusted_tme_correlation	A	multiple_uniprot_isoforms_mapped_not_resolved	missing_stomach_cancer_ihc	HPA_missing;antibody_low_confidence;CPTAC_not_assessed	heart	high_critical_off_tumor_risk
2479	SLC7A3	ENSG00000165349	Q8WY07	core_surfaceome	adc_focused	0.122853	0.830000	P	1	P	0.400000	0.253803	0.087570	0.312987		not_available		0.233814	0.060000	0.060913	0.014011	-0.056338			0.023381	0.251651	0.177032	0.750000		0.746724	low_uncorrected_tme_correlation	C	not_isoform_critical_or_single_canonical_mapping	missing_stomach_cancer_ihc	HPA_missing;antibody_low_confidence;CPTAC_not_assessed	immune	moderate_off_tumor_risk
2480	SSTR2	ENSG00000180616	P30874	core_surfaceome	adc_focused	0.122782	1.000000		0		0.400000	0.392208	0.155473	0.832282	0.311347	not_available		0.406585	0.060000	0.094130	0.024876	-0.149811	0.052929		0.040659	0.392208	0.234917	1.000000	0.195000	0.755846	high_purity_adjusted_tme_correlation	C	not_isoform_critical_or_single_canonical_mapping	stomach_cancer_ihc_available	RNA_low_protein_present;protein_present_no_membrane;CPTAC_not_assessed	brain	high_critical_off_tumor_risk
2481	GABRB2	ENSG00000145864	P47870	core_surfaceome	adc_focused	0.122078	1.000000		0		0.400000	0.362523	0.017440	0.832282	0.354108	not_available		0.618942	0.060000	0.087006	0.002790	-0.149811	0.060198		0.061894	0.358627	0.108052	1.000000	0.200000	0.862500	low_uncorrected_tme_correlation	B	multiple_uniprot_isoforms_mapped_not_resolved	stomach_cancer_ihc_available	CPTAC_not_assessed	brain	high_critical_off_tumor_risk
2482	OR2W3	ENSG00000238243	Q7Z3T1	core_surfaceome	adc_focused	0.121884	1.000000		0		0.400000	0.208534	0.099443	0.364564	0.174120	not_available		0.319460	0.060000	0.050048	0.015911	-0.065622	0.029600		0.031946	0.190223	0.188720	0.800000	0.083333	0.750002	watchlist_uncorrected_tme_correlation	C	not_isoform_critical_or_single_canonical_mapping	stomach_cancer_ihc_available	RNA_low_protein_present;protein_present_no_membrane;antibody_low_confidence;CPTAC_not_assessed	hematopoietic	high_critical_off_tumor_risk
2483	PIANP	ENSG00000139200	Q8IYJ0	core_surfaceome	adc_focused	0.121826	1.000000		0		0.200000	0.422635	0.044527	0.832282	0.354108	not_available		0.728820	0.030000	0.101432	0.007124	-0.149811	0.060198		0.072882	0.423655	0.135288	1.000000	0.200000	0.931700	high_purity_adjusted_tme_correlation	A	multiple_uniprot_isoforms_mapped_not_resolved	stomach_cancer_ihc_available	CPTAC_not_assessed	brain	high_critical_off_tumor_risk
2484	CACNA1A	ENSG00000141837	O00555	core_surfaceome	adc_focused	0.121564	1.000000		0		0.200000	0.507607	0.009276	0.832282	0.467300	not_available		0.386238	0.030000	0.121826	0.001484	-0.149811	0.079441		0.038624	0.506568	0.097737	1.000000	0.223333	0.753477	low_uncorrected_tme_correlation	C	multiple_uniprot_isoforms_mapped_not_resolved	stomach_cancer_ihc_available	CPTAC_not_assessed	brain	high_critical_off_tumor_risk
2485	SLC7A14	ENSG00000013293	Q8TBB6	core_surfaceome	adc_focused	0.121091	1.000000		0		0.200000	0.227829	0.143228	0.832282	0.945500	not_available		0.025712	0.030000	0.054679	0.022916	-0.149811	0.160735		0.002571	0.217904	0.224323	1.000000	0.625000	0.350000	low_uncorrected_tme_correlation	E	not_isoform_critical_or_single_canonical_mapping	stomach_cancer_ihc_available	CPTAC_not_assessed	brain	high_critical_off_tumor_risk
2486	P2RY12	ENSG00000169313	Q9H244	core_surfaceome	adc_focused	0.121055	1.000000		0		0.400000	0.394434	0.240074	0.832282	0.354108	not_available		0.175916	0.060000	0.094664	0.038412	-0.149811	0.060198		0.017592	0.394174	0.310538	1.000000	0.200000	0.737829	moderate_residual_tme_correlation	C	not_isoform_critical_or_single_canonical_mapping	stomach_cancer_ihc_available	CPTAC_not_assessed	brain	high_critical_off_tumor_risk
2487	CALN1	ENSG00000183166	Q9BXU9	core_surfaceome	adc_focused	0.120474	1.000000		0		0.400000	0.245269	0.079777	0.832282	0.794298	not_available		0.036256	0.060000	0.058865	0.012764	-0.149811	0.135031		0.003626	0.241020	0.168460	1.000000	0.466389	0.547568	low_uncorrected_tme_correlation	D	multiple_uniprot_isoforms_mapped_not_resolved	stomach_cancer_ihc_available	CPTAC_not_assessed	brain	high_critical_off_tumor_risk
2488	CACNA1E	ENSG00000198216	Q15878	core_surfaceome	adc_focused	0.120371	0.830000	P	1	P	0.400000	0.364378	0.397774	0.832282		not_available		0.386238	0.060000	0.087451	0.063644	-0.149811			0.038624	0.360148	0.440148	1.000000		0.753477	watchlist_uncorrected_tme_correlation	C	multiple_uniprot_isoforms_mapped_not_resolved	missing_stomach_cancer_ihc	HPA_missing;CPTAC_not_assessed	brain	high_critical_off_tumor_risk
2489	AGTR2	ENSG00000180772	P50052	core_surfaceome	adc_focused	0.120300	0.830000	P	1	P	0.400000	0.193321	0.161781	0.470501		not_available		0.522568	0.060000	0.046397	0.025885	-0.084690			0.052257	0.171763	0.239814	0.850000		0.795118	watchlist_uncorrected_tme_correlation	C	not_isoform_critical_or_single_canonical_mapping	missing_stomach_cancer_ihc	HPA_missing;antibody_low_confidence;CPTAC_not_assessed	lung	high_critical_off_tumor_risk
2490	MS4A15	ENSG00000166961	Q8N5U1	core_surfaceome	adc_focused	0.119829	0.830000	P	1	P	0.200000	0.376994	0.389610	0.470501		not_available		0.013319	0.030000	0.090479	0.062338	-0.084690			0.001332	0.375380	0.433896	0.850000		0.320000	low_uncorrected_tme_correlation	E	multiple_uniprot_isoforms_mapped_not_resolved	missing_stomach_cancer_ihc	HPA_missing;CPTAC_not_assessed	lung	high_critical_off_tumor_risk
2491	ATP1A4	ENSG00000132681	Q13733	core_surfaceome	adc_focused	0.119616	0.830000	P	1	P	0.400000	0.276438	0.028942	0.263636		not_available		0.157603	0.060000	0.066345	0.004631	-0.047455			0.015760	0.275733	0.121095	0.600000		0.733265	watchlist_uncorrected_tme_correlation	C	multiple_uniprot_isoforms_mapped_not_resolved	missing_stomach_cancer_ihc	HPA_missing;antibody_low_confidence;CPTAC_not_assessed	reproductive_other	moderate_off_tumor_risk
2492	GABBR2	ENSG00000136928	O75899	core_surfaceome	adc_focused	0.119568	1.000000		0		0.400000	0.308349	0.049722	0.832282	0.354108	not_available		0.672216	0.060000	0.074004	0.007956	-0.149811	0.060198		0.067222	0.306345	0.140297	1.000000	0.200000	0.892500	low_uncorrected_tme_correlation	B	not_isoform_critical_or_single_canonical_mapping	stomach_cancer_ihc_available	CPTAC_not_assessed	brain	high_critical_off_tumor_risk
2493	SLC26A8	ENSG00000112053	Q96RN1	core_surfaceome	adc_focused	0.119338	1.000000		0		0.400000	0.327644	0.292393	0.832282	0.418111	not_available		0.126526	0.060000	0.078635	0.046783	-0.149811	0.071079		0.012653	0.322597	0.354842	1.000000	0.209722	0.717847	low_uncorrected_tme_correlation	C	multiple_uniprot_isoforms_mapped_not_resolved	stomach_cancer_ihc_available	CPTAC_not_assessed	brain	high_critical_off_tumor_risk
2494	KCND1	ENSG00000102057	Q9NSA2	core_surfaceome	adc_focused	0.118791	1.000000		0		0.200000	0.528386	0.349907	0.832282	0.270263	not_available		0.098594	0.030000	0.126813	0.055985	-0.149811	0.045945		0.009859	0.528850	0.399369	1.000000	0.170000	0.704875	high_purity_adjusted_tme_correlation	C	multiple_uniprot_isoforms_mapped_not_resolved	stomach_cancer_ihc_available	CPTAC_not_assessed	brain	high_critical_off_tumor_risk
2495	TMEM132C	ENSG00000181234	Q8N3T6	core_surfaceome	adc_focused	0.117925	0.830000	P	1	P	0.400000	0.304638	0.130983	0.832282		not_available		0.936182	0.060000	0.073113	0.020957	-0.149811			0.093618	0.303878	0.211429	1.000000		0.962500	moderate_residual_tme_correlation	A	not_isoform_critical_or_single_canonical_mapping	missing_stomach_cancer_ihc	HPA_missing;CPTAC_not_assessed	brain	high_critical_off_tumor_risk
2496	LPAR3	ENSG00000171517	Q9UBY5	core_surfaceome	adc_focused	0.117636	0.830000	P	1	P	0.600000	0.355473	0.321707	0.832282		not_available		0.206622	0.090000	0.085314	0.051473	-0.149811			0.020662	0.352189	0.377273	1.000000		0.743152	low_uncorrected_tme_correlation	C	not_isoform_critical_or_single_canonical_mapping	missing_stomach_cancer_ihc	HPA_missing;CPTAC_not_assessed	heart	high_critical_off_tumor_risk
2497	SV2C	ENSG00000122012	Q496J9	core_surfaceome	adc_focused	0.117468	1.000000		0		0.400000	0.273098	0.114286	0.832282	0.308552	not_available		0.709952	0.060000	0.065544	0.018286	-0.149811	0.052454		0.070995	0.271299	0.199221	1.000000	0.193333	0.921171	low_uncorrected_tme_correlation	B	not_isoform_critical_or_single_canonical_mapping	stomach_cancer_ihc_available	CPTAC_not_assessed	brain	high_critical_off_tumor_risk
2498	KCNU1	ENSG00000215262	A8MYU2	core_surfaceome	adc_focused	0.117278	0.830000	P	1	P	0.400000	0.161039	0.188868	0.263636		not_available		0.159267	0.060000	0.038649	0.030219	-0.047455			0.015927	0.128256	0.259907	0.600000		0.733312	low_uncorrected_tme_correlation	C	not_isoform_critical_or_single_canonical_mapping	missing_stomach_cancer_ihc	HPA_missing;CPTAC_not_assessed	reproductive_other	moderate_off_tumor_risk
2499	KCNS2	ENSG00000156486	Q9ULS6	core_surfaceome	adc_focused	0.117265	1.000000		0		0.200000	0.266048	0.208905	0.233581	0.153717	not_available		0.059009	0.030000	0.063852	0.033425	-0.042045	0.026132		0.005901	0.262894	0.282690	0.249536	0.058333	0.619417	high_purity_adjusted_tme_correlation	D	not_isoform_critical_or_single_canonical_mapping	stomach_cancer_ihc_available	antibody_low_confidence;CPTAC_not_assessed	brain	lower_risk_by_current_normal_expression
2500	GPM6A	ENSG00000150625	P51674	core_surfaceome	adc_focused	0.117173	1.000000		0		0.400000	0.408534	0.001855	0.832282	0.522079	not_available		0.198853	0.060000	0.098048	0.000297	-0.149811	0.088753		0.019885	0.408794	0.083785	1.000000	0.246389	0.742009	watchlist_uncorrected_tme_correlation	C	multiple_uniprot_isoforms_mapped_not_resolved	stomach_cancer_ihc_available	CPTAC_not_assessed	brain	high_critical_off_tumor_risk
2501	PTPRT	ENSG00000196090	O14522	core_surfaceome	adc_focused	0.117040	1.000000		0		0.400000	0.313173	0.079406	0.832282	0.235606	not_available		0.789308	0.060000	0.075162	0.012705	-0.149811	0.040053		0.078931	0.310649	0.168052	1.000000	0.149722	0.932500	high_purity_adjusted_tme_correlation	A	multiple_uniprot_isoforms_mapped_not_resolved	stomach_cancer_ihc_available	CPTAC_not_assessed	brain	high_critical_off_tumor_risk
2502	KCNJ10	ENSG00000177807	P78508	core_surfaceome	adc_focused	0.116850	1.000000		0		0.200000	0.403340	0.146939	0.832282	0.584405	not_available		0.169996	0.030000	0.096802	0.023510	-0.149811	0.099349		0.017000	0.402931	0.227421	1.000000	0.266667	0.736379	high_purity_adjusted_tme_correlation	C	not_isoform_critical_or_single_canonical_mapping	stomach_cancer_ihc_available	CPTAC_not_assessed	brain	high_critical_off_tumor_risk
2503	EDA	ENSG00000158813	Q92838	core_surfaceome	adc_focused	0.116720	0.830000	P	1	P	0.400000	0.532839	0.317254	0.832282		not_available		0.080466	0.060000	0.127881	0.050761	-0.149811			0.008047	0.532356	0.374249	1.000000		0.682500	low_uncorrected_tme_correlation	A	multiple_uniprot_isoforms_mapped_not_resolved	missing_stomach_cancer_ihc	HPA_missing;CPTAC_not_assessed	heart	high_critical_off_tumor_risk
2504	COL23A1	ENSG00000050767	Q86Y22	core_surfaceome	adc_focused	0.116463	1.000000		0		0.200000	0.460482	0.247495	0.832282	0.190609	not_available		0.537551	0.030000	0.110516	0.039599	-0.149811	0.032404		0.053755	0.460983	0.316401	1.000000	0.102778	0.812500	high_purity_adjusted_tme_correlation	A	not_isoform_critical_or_single_canonical_mapping	stomach_cancer_ihc_available	RNA_low_protein_present;protein_present_no_membrane;antibody_low_confidence;CPTAC_not_assessed	brain	high_critical_off_tumor_risk
2505	TMEM63C	ENSG00000165548	Q9P1W3	core_surfaceome	adc_focused	0.116416	1.000000		0		0.400000	0.395918	0.033024	0.832282	0.435159	not_available		0.319460	0.060000	0.095020	0.005284	-0.149811	0.073977		0.031946	0.394805	0.127236	1.000000	0.216389	0.750002	low_uncorrected_tme_correlation	C	not_isoform_critical_or_single_canonical_mapping	stomach_cancer_ihc_available	RNA_low_protein_present;protein_present_no_membrane;CPTAC_not_assessed	brain	high_critical_off_tumor_risk
2506	GRID2	ENSG00000152208	O43424	core_surfaceome	adc_focused	0.116141	1.000000		0		0.400000	0.240445	0.063080	0.832282	0.448575	not_available		0.618942	0.060000	0.057707	0.010093	-0.149811	0.076258		0.061894	0.235065	0.151132	1.000000	0.219444	0.862500	low_uncorrected_tme_correlation	B	multiple_uniprot_isoforms_mapped_not_resolved	stomach_cancer_ihc_available	CPTAC_not_assessed	brain	high_critical_off_tumor_risk
2507	GJC2	ENSG00000198835	Q5T442	core_surfaceome	adc_focused	0.115169	0.830000	P	1	P	0.400000	0.505751	0.264750	0.832282		not_available		0.216611	0.060000	0.121380	0.042360	-0.149811			0.021661	0.505566	0.331169	1.000000		0.744379	high_purity_adjusted_tme_correlation	C	not_isoform_critical_or_single_canonical_mapping	missing_stomach_cancer_ihc	HPA_missing;CPTAC_not_assessed	brain	high_critical_off_tumor_risk
2508	OR5AK2	ENSG00000181273	Q8NH90	core_surfaceome	adc_focused	0.115006	0.830000	P	1	P	0.400000	0.145640	0.164007	0.364564		not_available		0.398816	0.060000	0.034954	0.026241	-0.065622			0.039882	0.119239	0.241707	0.800000		0.754930	low_uncorrected_tme_correlation	C	not_isoform_critical_or_single_canonical_mapping	missing_stomach_cancer_ihc	HPA_missing;antibody_low_confidence;CPTAC_not_assessed	hematopoietic	high_critical_off_tumor_risk
2509	PTGIR	ENSG00000160013	P43119	core_surfaceome	adc_focused	0.114848	0.830000	P	1	P	0.400000	0.603340	0.156586	0.832282		not_available		0.152793	0.060000	0.144802	0.025054	-0.149811			0.015279	0.606141	0.235547	1.000000		0.731684	high_purity_adjusted_tme_correlation	C	not_isoform_critical_or_single_canonical_mapping	missing_stomach_cancer_ihc	HPA_missing;antibody_low_confidence;CPTAC_not_assessed	heart	high_critical_off_tumor_risk
