source_id	action	local_path	filename	url_or_endpoint	retrieval_date	version_or_release	bytes	sha256	status	last_modified	content_length	license_or_terms	notes
cancer_surfaceome_atlas_tcsa	verified_existing_raw	data/raw/surfaceome/tcsa_supplementary_tables_1_40.xlsx	tcsa_supplementary_tables_1_40.xlsx	https://static-content.springer.com/esm/art%3A10.1038%2Fs43018-021-00282-w/MediaObjects/43018_2021_282_MOESM2_ESM.xlsx	2026-05-30	Hu et al. Nature Cancer 2021 Supplementary Tables 1-40; Last-Modified Thu, 26 Oct 2023 09:19:51 GMT	5711644	c8b3059d4b00988de15c100f66260de7b10b0e500e5919e7ae484a60b0edde68	ok	Thu, 26 Oct 2023 09:19:51 GMT	5711644	Nature/Springer supplementary material terms	Cancer Surfaceome Atlas supplementary workbook; Table S2 contains 3,567 GESPs.
cspa	verified_existing_raw	data/raw/surfaceome/cspa_pone_0121314_s003.xlsx	cspa_pone_0121314_s003.xlsx	https://journals.plos.org/plosone/article/file?type=supplementary&id=10.1371/journal.pone.0121314.s003	2026-05-30	Bausch-Fluck et al. PLOS ONE 2015 S2 file; Last-Modified Mon, 30 Nov 2020 21:58:07 GMT	1430284	9b02c85d4c1d49847cf37e23755f07e57ea65b79cc0ebcdaeef1752dab8b5c8a	ok	Mon, 30 Nov 2020 21:58:07 GMT	1430284	PLOS ONE article supplementary material terms	CSPA S2 file; Table A contains human experimentally observed surfaceome proteins.
surfy	verified_existing_raw	data/raw/surfaceome/surfy_table_s3_surfaceome.xlsx	surfy_table_s3_surfaceome.xlsx	https://wlab.ethz.ch/surfaceome/table_S3_surfaceome.xlsx	2026-05-30	SURFY table S3; Last-Modified Mon, 09 Mar 2026 13:42:02 GMT	6864772	2f1b8262463ce1c59a1f945d22f0e9638cb3bfbf5aabe197f43b562a62fb055a	ok	Mon, 09 Mar 2026 13:42:02 GMT	6864772	Wollscheid lab SURFY download terms; verify before redistribution	In silico human surfaceome workbook; sheet 'in silico surfaceome only' contains predicted surface proteins.
uniprot_reviewed_human_go	verified_existing_raw	data/raw/uniprot/uniprot_reviewed_human_go.tsv.gz	uniprot_reviewed_human_go.tsv.gz	https://rest.uniprot.org/uniprotkb/stream?compressed=true&format=tsv&fields=accession,gene_names,go_id,go_c&query=(reviewed:true)%20AND%20(organism_id:9606)	2026-05-30	UniProt reviewed human GO cellular component stream; release observed as 2026_01 in Fase 1	1388927	358b94456716cf258d3f0e33e6966e64139449c5be0dfef3f28f838524ad6449	ok			UniProt terms	Reviewed human UniProt accessions with GO cellular component terms and GO IDs.
uniprot_reviewed_human_gpi_lipidation	verified_existing_raw	data/raw/uniprot/uniprot_reviewed_human_gpi.tsv.gz	uniprot_reviewed_human_gpi.tsv.gz	https://rest.uniprot.org/uniprotkb/stream?compressed=true&format=tsv&fields=accession,gene_names,ft_lipid,cc_subcellular_location&query=(reviewed:true)%20AND%20(organism_id:9606)	2026-05-30	UniProt reviewed human lipidation/subcellular stream; release recorded by checksum manifest at retrieval	1007873	1037e8a16dff3b7a03670711e539d698e41c0259135779d940bbf8c7fc33f689	ok			UniProt terms	Reviewed human UniProt accessions with lipidation and subcellular fields for direct GPI-anchor evidence.
