dataset	artifact	local_path	url	retrieval_date	bytes	sha256	license_or_terms
STAD_GSE134520	expression_zip	data/raw/tisch2/STAD_GSE134520/STAD_GSE134520_Expression.zip	https://tisch.compbio.cn/static/data/STAD_GSE134520/STAD_GSE134520_Expression.zip	2026-06-01	2339795	b90547e4dece9f1e2b6f5e4c26bfc6882b95c979dcd220c473a0100b040b5924	TISCH2 public download; source studies remain under their original terms
STAD_GSE134520	meta_table	data/raw/tisch2/STAD_GSE134520/STAD_GSE134520_CellMetainfo_table.tsv	https://tisch.compbio.cn/static/data/STAD_GSE134520/STAD_GSE134520_CellMetainfo_table.tsv	2026-06-01	5549155	0d3ed62ff59ac4138829e57477fdf5c58985ace572683d418692855e523dc5ff	TISCH2 public download; source studies remain under their original terms
STAD_GSE167297	expression_zip	data/raw/tisch2/STAD_GSE167297/STAD_GSE167297_Expression.zip	https://tisch.compbio.cn/static/data/STAD_GSE167297/STAD_GSE167297_Expression.zip	2026-06-01	2005426	b9221c41b09d22cd371b3044eb79481b3ea8224559e099c05f1cf81eeed116ee	TISCH2 public download; source studies remain under their original terms
STAD_GSE167297	meta_table	data/raw/tisch2/STAD_GSE167297/STAD_GSE167297_CellMetainfo_table.tsv	https://tisch.compbio.cn/static/data/STAD_GSE167297/STAD_GSE167297_CellMetainfo_table.tsv	2026-06-01	2377372	9b50ed9cd722342dbf62a63aac582503d59c24e1d41ad7be97b31bbf1924ce5d	TISCH2 public download; source studies remain under their original terms
