source_id	action	local_path	filename	url_or_endpoint	retrieval_date	version_or_release	bytes	sha256	status	license_or_terms	notes
tidyestimate_cran	downloaded_or_extracted_raw	data/raw/tcga_purity/tidyestimate_1.1.1.tar.gz	tidyestimate_1.1.1.tar.gz	https://cran.r-project.org/src/contrib/tidyestimate_1.1.1.tar.gz	2026-05-31	tidyestimate 1.1.1; ESTIMATE signatures from Yoshihara et al. 2013	936616	cc747f787b6548a62219f3388ff6d93ad93cfcb60fe75f322fd712f41509514b	ok	GPL-2/GPL-3 expanded from tidyestimate package metadata	CRAN tidyestimate source package used to extract ESTIMATE stromal and immune gene signatures.
tidyestimate_gene_sets	downloaded_or_extracted_raw	data/raw/tcga_purity/tidyestimate/data/gene_sets.rda	gene_sets.rda	tidyestimate/data/gene_sets.rda inside source package	2026-05-31	tidyestimate 1.1.1; ESTIMATE signatures from Yoshihara et al. 2013	1283	5d058439aed4f074b49d623c5bc4ebfbaceab79766249dd87f280c62d1c0469a	ok	GPL-2/GPL-3 expanded from tidyestimate package metadata	Extracted ESTIMATE stromal and immune gene signatures; derived from tidyestimate data/gene_sets.rda.
