audit_type	hgnc_symbol	surfaceome_category	surfaceome_confidence_score	control_role	status	notes
potential_false_negative_published_absent_from_core_probable	AHNAK	ambiguous_membrane_or_surface_context	5		review_if_biologically_relevant	
potential_false_negative_published_absent_from_core_probable	AHNAK2	ambiguous_membrane_or_surface_context	5		review_if_biologically_relevant	
potential_false_negative_published_absent_from_core_probable	AHSG	ambiguous_membrane_or_surface_context	3		review_if_biologically_relevant	surface_annotation_without_membrane_anchor_or_hpa_membrane
potential_false_negative_published_absent_from_core_probable	AKAP11	ambiguous_membrane_or_surface_context	5		review_if_biologically_relevant	cspa_unspecific_copurified_not_counted_as_surface_support
potential_false_negative_published_absent_from_core_probable	ALOX15B	ambiguous_membrane_or_surface_context	5		review_if_biologically_relevant	
potential_false_negative_published_absent_from_core_probable	AMBP	ambiguous_membrane_or_surface_context	4		review_if_biologically_relevant	surface_annotation_without_membrane_anchor_or_hpa_membrane
potential_false_negative_published_absent_from_core_probable	AMER1	ambiguous_membrane_or_surface_context	5		review_if_biologically_relevant	
potential_false_negative_published_absent_from_core_probable	AMER2	ambiguous_membrane_or_surface_context	5		review_if_biologically_relevant	
potential_false_negative_published_absent_from_core_probable	AMIGO3	ambiguous_membrane_or_surface_context	3		review_if_biologically_relevant	
potential_false_negative_published_absent_from_core_probable	AMOT	ambiguous_membrane_or_surface_context	4		review_if_biologically_relevant	surface_annotation_without_membrane_anchor_or_hpa_membrane
potential_false_negative_published_absent_from_core_probable	AMPH	ambiguous_membrane_or_surface_context	5		review_if_biologically_relevant	
potential_false_negative_published_absent_from_core_probable	ANGPT1	ambiguous_membrane_or_surface_context	4		review_if_biologically_relevant	surface_annotation_without_membrane_anchor_or_hpa_membrane
potential_false_negative_published_absent_from_core_probable	ANGPTL1	ambiguous_membrane_or_surface_context	3		review_if_biologically_relevant	surface_annotation_without_membrane_anchor_or_hpa_membrane
potential_false_negative_published_absent_from_core_probable	ANGPTL2	ambiguous_membrane_or_surface_context	3		review_if_biologically_relevant	surface_annotation_without_membrane_anchor_or_hpa_membrane
potential_false_negative_published_absent_from_core_probable	ANGPTL4	ambiguous_membrane_or_surface_context	3		review_if_biologically_relevant	surface_annotation_without_membrane_anchor_or_hpa_membrane
potential_false_negative_published_absent_from_core_probable	ANK2	ambiguous_membrane_or_surface_context	5		review_if_biologically_relevant	
potential_false_negative_published_absent_from_core_probable	ANK3	ambiguous_membrane_or_surface_context	5		review_if_biologically_relevant	
potential_false_negative_published_absent_from_core_probable	ANKRD13A	ambiguous_membrane_or_surface_context	5		review_if_biologically_relevant	
potential_false_negative_published_absent_from_core_probable	ANKS1B	ambiguous_membrane_or_surface_context	5		review_if_biologically_relevant	
potential_false_negative_published_absent_from_core_probable	ANOS1	ambiguous_membrane_or_surface_context	4		review_if_biologically_relevant	surface_annotation_without_membrane_anchor_or_hpa_membrane
potential_false_negative_published_absent_from_core_probable	ANTXRL	ambiguous_membrane_or_surface_context	4		review_if_biologically_relevant	
potential_false_negative_published_absent_from_core_probable	ANXA1	ambiguous_membrane_or_surface_context	5		review_if_biologically_relevant	
potential_false_negative_published_absent_from_core_probable	ANXA13	ambiguous_membrane_or_surface_context	5		review_if_biologically_relevant	
potential_false_negative_published_absent_from_core_probable	AOC1	ambiguous_membrane_or_surface_context	4		review_if_biologically_relevant	surface_annotation_without_membrane_anchor_or_hpa_membrane
potential_false_negative_published_absent_from_core_probable	AP2M1	ambiguous_membrane_or_surface_context	5		review_if_biologically_relevant	
potential_false_negative_published_absent_from_core_probable	AP2S1	ambiguous_membrane_or_surface_context	4		review_if_biologically_relevant	surface_annotation_without_membrane_anchor_or_hpa_membrane
potential_false_negative_published_absent_from_core_probable	APBB1	ambiguous_membrane_or_surface_context	5		review_if_biologically_relevant	
potential_false_negative_published_absent_from_core_probable	APBB1IP	ambiguous_membrane_or_surface_context	5		review_if_biologically_relevant	
potential_false_negative_published_absent_from_core_probable	APOB	ambiguous_membrane_or_surface_context	4		review_if_biologically_relevant	surface_annotation_without_membrane_anchor_or_hpa_membrane
potential_false_negative_published_absent_from_core_probable	APOD	ambiguous_membrane_or_surface_context	4		review_if_biologically_relevant	
potential_false_negative_published_absent_from_core_probable	APOH	ambiguous_membrane_or_surface_context	4		review_if_biologically_relevant	surface_annotation_without_membrane_anchor_or_hpa_membrane
potential_false_negative_published_absent_from_core_probable	ARAP1	ambiguous_membrane_or_surface_context	5		review_if_biologically_relevant	
