subtype	n_primary_tumor_samples	n_cbioportal_patients	n_cbioportal_patients_without_xena_primary	descriptive_report_allowed	quantitative_claim_allowed	tier1_subtype_only_allowed	claim_scope
STAD_EBV	30	30	0	true	true	false	quantitative_claim_allowed
STAD_MSI	73	73	0	true	true	true	quantitative_and_tier1_subtype_context_allowed
STAD_GS	50	50	0	true	true	true	quantitative_and_tier1_subtype_context_allowed
STAD_CIN	221	223	2	true	true	true	quantitative_and_tier1_subtype_context_allowed
STAD_POLE	7	7	0	false	false	false	insufficient_n
unassigned	33	57	24	true	true	false	quantitative_claim_allowed
