gene_id	variance
ENSG00000229183.8	70.04012298583984
ENSG00000229859.8	67.71928405761719
ENSG00000270103.3	66.75772857666016
ENSG00000256713.7	66.7312240600586
ENSG00000182333.14	62.71912384033203
ENSG00000234648.1	59.19741439819336
ENSG00000258232.2	55.12763214111328
ENSG00000206585.1	54.69140625
ENSG00000201098.1	53.433448791503906
ENSG00000169605.5	52.699188232421875
ENSG00000278144.1	52.595550537109375
ENSG00000170373.8	50.651519775390625
ENSG00000200795.1	50.3359260559082
ENSG00000212283.1	49.525299072265625
ENSG00000105675.8	49.004539489746094
ENSG00000267601.1	48.061832427978516
ENSG00000206634.1	47.65163040161133
ENSG00000238961.1	47.49211120605469
ENSG00000186009.4	46.23794174194336
ENSG00000277300.1	45.63983154296875
ENSG00000278371.2	45.508811950683594
ENSG00000207088.1	45.440101623535156
ENSG00000202538.1	45.208797454833984
ENSG00000207445.1	45.00200653076172
ENSG00000200463.1	44.49287796020508
ENSG00000257411.1	44.25813293457031
ENSG00000265401.1	44.178192138671875
ENSG00000228830.1	44.07463073730469
ENSG00000274430.1	43.99165725708008
ENSG00000209582.1	43.90908432006836
ENSG00000281272.1	43.75749969482422
ENSG00000279119.1	43.496185302734375
ENSG00000134216.18	43.36015319824219
ENSG00000222636.1	43.35493087768555
ENSG00000134812.7	43.044586181640625
ENSG00000199477.1	42.997398376464844
ENSG00000200320.1	42.991092681884766
ENSG00000212464.1	42.846988677978516
ENSG00000208772.1	42.80893325805664
ENSG00000183607.9	42.57728576660156
ENSG00000251920.1	42.44527053833008
ENSG00000280653.1	42.336666107177734
ENSG00000207304.1	42.11765670776367
ENSG00000207145.1	42.08738327026367
ENSG00000274630.1	42.04963684082031
ENSG00000250273.1	41.45325469970703
ENSG00000221676.1	41.23733901977539
ENSG00000201302.1	41.13063430786133
ENSG00000275559.1	41.06137466430664
ENSG00000270123.3	40.73239517211914
ENSG00000265840.1	40.32452392578125
ENSG00000276161.1	40.24258804321289
ENSG00000282785.1	40.204620361328125
ENSG00000238622.1	40.19941711425781
ENSG00000252699.1	40.166648864746094
ENSG00000281052.1	40.164093017578125
ENSG00000199293.1	40.148685455322266
ENSG00000206597.1	40.13164520263672
ENSG00000269900.3	40.086708068847656
ENSG00000275252.1	40.01933670043945
ENSG00000276737.1	40.01933670043945
ENSG00000276796.1	40.01933670043945
ENSG00000210825.1	39.958030700683594
ENSG00000277194.1	39.943782806396484
ENSG00000256220.1	39.34650802612305
ENSG00000230043.1	39.33689498901367
ENSG00000207392.1	39.11365509033203
ENSG00000267815.1	39.08482360839844
ENSG00000187653.11	39.05500030517578
ENSG00000188120.14	39.005680084228516
ENSG00000199347.1	39.005279541015625
ENSG00000204019.4	39.00393295288086
ENSG00000279009.1	38.96288299560547
ENSG00000282122.1	38.870540618896484
ENSG00000201512.1	38.57843780517578
ENSG00000239975.2	38.34685516357422
ENSG00000282651.1	38.2681999206543
ENSG00000238917.1	38.23713302612305
ENSG00000254665.1	37.98789978027344
ENSG00000250321.1	37.97208786010742
ENSG00000244491.1	37.96355438232422
ENSG00000207496.1	37.9592170715332
ENSG00000263986.1	37.938270568847656
ENSG00000240801.1	37.91692352294922
ENSG00000213058.3	37.836524963378906
ENSG00000169340.9	37.56543731689453
ENSG00000176868.2	37.3174934387207
ENSG00000274266.1	37.17112350463867
ENSG00000281457.1	37.02998733520508
ENSG00000211935.3	36.978057861328125
ENSG00000256007.1	36.909549713134766
ENSG00000200534.1	36.77247619628906
ENSG00000225091.3	36.756282806396484
ENSG00000248126.1	36.59877395629883
ENSG00000264462.1	36.419864654541016
ENSG00000275708.1	36.419864654541016
ENSG00000207165.1	36.41630554199219
ENSG00000277887.1	36.36503982543945
ENSG00000279322.1	35.76273727416992
ENSG00000275783.1	35.69218063354492
ENSG00000269972.1	35.41523742675781
ENSG00000281134.1	35.375118255615234
ENSG00000221867.8	35.3723030090332
ENSG00000280843.1	35.32593536376953
ENSG00000280874.1	35.2540283203125
